"Name","TeamAbbreviation","GamesPlayed","Minutes","PlusMinus","OnOffRtg","OnDefRtg","FirstChancePoints","ThreePtOffReboundedPct","AtRimOffReboundedPct","ShortMidRangeOffReboundedPct","LongMidRangeOffReboundedPct","Blocks","Blocked2s","Blocked3s","BlockedAtRim","BlockedShortMidRange","BlockedLongMidRange","BlockedCorner3","BlockedArc3","RecoveredBlocks","BlocksRecoveredPct","Steals","LostBallSteals","BadPassSteals","DefensiveGoaltends"
"Shaedon Sharpe","POR",14,400,2.2835917312661422,118.25581395348837,115.97222222222221,34.41860465116279,0.23943661971830985,0.4838709677419355,0.3684210526315789,0.24,0.3472222222222222,0.3472222222222222,0,0.23148148148148148,0,0.11574074074074074,0,0,0.11574074074074074,0.3333333333333333,2.314814814814815,12,8,0
"Cedric Coward","MEM",15,399,-0.7482463398936687,113.75291375291376,114.50116009280744,21.445221445221446,0.4146341463414634,0.46153846153846156,0.391304347826087,0,0.6960556844547564,0.6960556844547564,0,0.46403712296983757,0.23201856148491878,0,0,0,0.580046403712297,0.8333333333333334,1.3921113689095128,4,8,0.11600928074245939
"Russell Westbrook","SAC",14,399,-10.155487887035491,111.2398609501738,121.39534883720931,20.509849362688296,0.23255813953488372,0.42857142857142855,0.2692307692307692,0.25,0.23255813953488372,0.23255813953488372,0,0.11627906976744186,0.11627906976744186,0,0,0,0.11627906976744186,0.5,1.627906976744186,6,8,0.11627906976744186
"Naji Marshall","DAL",15,394,-8.912075211268387,104.15676959619952,113.06884480746791,17.220902612826603,0.2857142857142857,0.45454545454545453,0.3125,0,0,0,0,0,0,0,0,0,0,0,2.2170361726954493,9,10,0
"Paolo Banchero","ORL",12,393,3.6961986502474673,116.52593486127866,112.82973621103118,28.588661037394452,0.21212121212121213,0.42105263157894735,0.24242424242424243,0.18181818181818182,1.3189448441247003,1.3189448441247003,0,0.5995203836930456,0.7194244604316546,0,0,0,0.9592326139088729,0.7272727272727273,1.079136690647482,5,4,0
"Santi Aldama","MEM",15,384,-6.951219512195124,110.73170731707319,117.6829268292683,19.146341463414632,0.13043478260869565,0.5714285714285714,0.2631578947368421,0.14285714285714285,1.0975609756097562,1.0975609756097562,0,0.6097560975609756,0.4878048780487805,0,0,0,1.0975609756097562,1,1.951219512195122,4,12,0.12195121951219512
"CJ McCollum","WAS",13,384,-12.077294685990339,112.92270531400968,125,24.27536231884058,0.16071428571428573,0.2727272727272727,0.2857142857142857,0.2727272727272727,0.3640776699029126,0.3640776699029126,0,0,0.3640776699029126,0,0,0,0.3640776699029126,1,1.2135922330097086,6,4,0
"Julian Champagnie","SAS",14,381,7.777093012230964,117.21105527638191,109.43396226415094,14.824120603015075,0.2765957446808511,0.4,0.2,0,0.5031446540880503,0.37735849056603776,0.12578616352201258,0.37735849056603776,0,0,0,0.12578616352201258,0.25157232704402516,0.5,1.8867924528301887,6,9,0
"Jaylen Wells","MEM",15,380,-8.456043869214128,111.51898734177215,119.97503121098627,15.69620253164557,0.26785714285714285,0.5,0.3333333333333333,0.1,0,0,0,0,0,0,0,0,0,0,1.2484394506866416,5,5,0
"Terance Mann","BKN",14,380,-11.67315175097275,114.13748378728924,125.81063553826199,13.488975356679637,0.11538461538461539,0.3076923076923077,0.35714285714285715,0,0.38910505836575876,0.38910505836575876,0,0.2594033722438392,0.1297016861219196,0,0,0,0,0,1.4267185473411155,6,5,0
"Josh Giddey","CHI",11,379,0.48144817633735215,117.70573566084789,117.22428748451053,27.18204488778055,0.3103448275862069,0.25925925925925924,0.3448275862068966,0.375,0.6195786864931846,0.6195786864931846,0,0.24783147459727387,0.37174721189591076,0,0,0,0.37174721189591076,0.6,1.3630731102850062,4,7,0
"Svi Mykhailiuk","UTA",14,378,-3.1850924900932114,113.0379746835443,116.22306717363752,14.30379746835443,0.32608695652173914,0.5,0,0,0.38022813688212925,0.38022813688212925,0,0.2534854245880862,0.1267427122940431,0,0,0,0.1267427122940431,0.3333333333333333,0.8871989860583016,0,7,0
"Matas Buzelis","CHI",13,378,0.7463091537809845,115.78298397040692,115.03667481662592,21.8249075215783,0.19444444444444445,0.25925925925925924,0.3076923076923077,1,1.8337408312958434,1.5892420537897312,0.24449877750611246,0.8557457212713936,0.7334963325183375,0,0.12224938875305623,0.12224938875305623,1.3447432762836187,0.7333333333333333,1.2224938875305624,2,8,0.12224938875305623
"Alex Sarr","WAS",13,377,-12.508746485503096,111.80203045685279,124.31077694235589,23.223350253807105,0.19230769230769232,0.5,0.2558139534883721,0.16666666666666666,3.508771929824561,3.3834586466165413,0.12531328320802004,1.7543859649122806,1.6290726817042607,0,0,0.12531328320802004,1.8796992481203008,0.5357142857142857,1.1278195488721805,3,6,0.6265664160401002
"Jalen Duren","DET",13,376,12.251295166896199,121.99488491048592,109.74358974358975,26.214833759590793,0,0.4827586206896552,0.3125,0,1.794871794871795,1.794871794871795,0,0.6410256410256411,1.1538461538461537,0,0,0,1.0256410256410255,0.5714285714285714,1.794871794871795,7,7,0
"Sion James","CHA",14,374,0.28199841447997187,116.12483745123536,115.8428390367554,12.873862158647594,0.32,0.25,0.25,0,0.6337135614702155,0.6337135614702155,0,0.5069708491761724,0.1267427122940431,0,0,0,0.5069708491761724,0.8,1.394169835234474,9,2,0
"Jalen Brunson","NYK",11,373,9.865842419892843,123.69426751592357,113.82842509603074,35.4140127388535,0.32075471698113206,0.4,0.3783783783783784,0.45454545454545453,0,0,0,0,0,0,0,0,0,0,1.1523687580025608,7,2,0
"OG Anunoby","NYK",12,373,16.02209214532705,125.41720154043645,109.3951093951094,20.154043645699616,0.25,0.42105263157894735,0.3333333333333333,1,1.0296010296010296,1.0296010296010296,0,0.9009009009009009,0,0.1287001287001287,0,0,0.5148005148005148,0.5,2.9601029601029603,8,15,0
"Kyshawn George","WAS",12,371,-15.053514736355169,105.80075662042876,120.85427135678393,23.95964691046658,0.10810810810810811,0.125,0.5,0.2222222222222222,1.3819095477386936,1.1306532663316582,0.25125628140703515,0.5025125628140703,0.628140703517588,0,0.25125628140703515,0,0.7537688442211056,0.5454545454545454,1.3819095477386936,3,8,0
"Jeremiah Fears","NOP",14,369,-21.16454304948374,105.8047493403694,126.96929238985314,24.934036939313984,0.27586206896551724,0.4583333333333333,0.5625,0.21428571428571427,0.13351134846461948,0.13351134846461948,0,0.13351134846461948,0,0,0,0,0.13351134846461948,1,3.2042723631508676,6,18,0
"Anfernee Simons","BOS",15,368,-0.34292913667590597,116.89373297002724,117.23666210670315,25.204359673024523,0.29310344827586204,0.3333333333333333,0.38461538461538464,0.15789473684210525,0.4103967168262654,0.4103967168262654,0,0.27359781121751026,0.13679890560875513,0,0,0,0.27359781121751026,0.6666666666666666,0.8207934336525308,3,3,0
"Neemias Queta","BOS",15,367,17.314352993175774,119.80742778541953,102.49307479224377,12.5171939477304,0.6666666666666666,0.6470588235294118,0.21428571428571427,0,3.0470914127423825,3.0470914127423825,0,1.9390581717451523,1.10803324099723,0,0,0,1.5235457063711912,0.5,1.5235457063711912,3,8,0
"Collin Gillespie","PHX",15,365,10.355821184397982,121.2283044058745,110.87248322147651,18.82510013351135,0.3888888888888889,0.5,0.23076923076923078,0.2,0.8053691275167785,0.8053691275167785,0,0.40268456375838924,0.40268456375838924,0,0,0,0.40268456375838924,0.5,2.0134228187919465,10,5,0
"Domantas Sabonis","SAC",11,365,-19.21229349482965,107.09677419354838,126.30906768837804,19.741935483870968,0.0625,0.42857142857142855,0.11538461538461539,0,0.2554278416347382,0.2554278416347382,0,0.2554278416347382,0,0,0,0,0.2554278416347382,1,1.6602809706257982,7,6,0
"Aaron Gordon","DEN",12,365,21.15473562493429,128.1746031746032,107.01986754966887,26.455026455026456,0.20588235294117646,0.5454545454545454,0.35294117647058826,0.125,0.3973509933774834,0.3973509933774834,0,0.13245033112582782,0.26490066225165565,0,0,0,0.3973509933774834,1,1.3245033112582782,3,7,0.13245033112582782
"Jabari Smith Jr.","HOU",11,363,14.127839815171356,126.12244897959184,111.99460916442048,17.82312925170068,0.3888888888888889,0.5714285714285714,0.2857142857142857,0.45454545454545453,1.2129380053908356,1.2129380053908356,0,0.8086253369272237,0.40431266846361186,0,0,0,0.6738544474393531,0.5555555555555556,1.2129380053908356,2,7,0
