Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional
395,Jared McCain,21,PHI,SG,4,0,36,0.0,12.0,0.000,0.0,2.7,0.000,0.0,9.4,0.000,0.000,0.0,0.0,,0.0,2.7,2.7,5.4,1.3,0.0,1.3,5.4,0.0,28,120,,mccaija01
396,Khaman Maluach,19,PHO,C,7,0,35,4.2,9.7,0.429,0.0,4.2,0.000,4.2,5.5,0.750,0.429,9.7,11.1,0.875,1.4,6.9,8.3,1.4,0.0,5.5,6.9,11.1,18.0,92,114,,maluakh01
397,Jonathan Mogbo,24,TOR,PF,7,0,35,4.1,8.1,0.500,0.0,0.0,,4.1,8.1,0.500,0.500,0.0,0.0,,4.1,8.1,12.2,5.4,1.4,2.7,1.4,5.4,8.1,123,111,,mogbojo01
398,Malaki Branham,22,WAS,SG,5,0,34,8.3,15.1,0.545,1.4,6.9,0.200,6.9,8.3,0.833,0.591,8.3,11.0,0.750,4.1,6.9,11.0,4.1,0.0,0.0,1.4,2.8,26.1,138,128,,branhma01
399,Mac McClung,27,IND,SG,3,0,34,9.7,25.0,0.389,2.8,13.9,0.200,6.9,11.1,0.625,0.444,4.2,5.5,0.750,0.0,5.5,5.5,1.4,6.9,1.4,2.8,8.3,26.4,92,107,,mccluma01
400,Dylan Cardwell,24,SAC,C,3,1,33,2.8,8.5,0.333,0.0,1.4,0.000,2.8,7.1,0.400,0.333,1.4,2.8,0.500,2.8,4.3,7.1,0.0,2.8,4.3,2.8,14.2,7.1,70,115,,cardwdy01
401,Nolan Traoré,19,BRK,PG,3,0,33,3.0,13.3,0.222,3.0,8.9,0.333,0.0,4.4,0.000,0.333,1.5,3.0,0.500,0.0,1.5,1.5,5.9,3.0,0.0,3.0,7.4,10.3,79,124,,traorno01
402,Caleb Houstan,23,ATL,SF,5,0,32,5.9,11.8,0.500,4.4,8.8,0.500,1.5,2.9,0.500,0.688,4.4,4.4,1.000,4.4,0.0,4.4,2.9,1.5,1.5,4.4,5.9,20.6,122,118,,houstca01
403,Charles Bassey,25,MEM,C,2,0,31,4.5,12.1,0.375,0.0,0.0,,4.5,12.1,0.375,0.375,1.5,4.5,0.333,10.6,12.1,22.7,3.0,1.5,1.5,1.5,7.6,10.6,107,113,,bassech01
404,Jase Richardson,20,ORL,SG,7,0,30,1.6,8.0,0.200,0.0,4.8,0.000,1.6,3.2,0.500,0.200,1.6,3.2,0.500,0.0,1.6,1.6,9.6,0.0,0.0,4.8,1.6,4.8,68,121,,richaja02
405,Mason Plumlee,35,CHO,C,6,0,30,3.2,3.2,1.000,0.0,0.0,,3.2,3.2,1.000,1.000,3.2,6.4,0.500,1.6,6.4,8.0,3.2,0.0,0.0,3.2,1.6,9.6,112,124,,plumlma01
406,Jalen Green,23,PHO,SG,2,2,30,17.8,37.2,0.478,9.7,22.6,0.429,8.1,14.5,0.556,0.609,4.8,8.1,0.600,3.2,3.2,6.5,6.5,3.2,0.0,3.2,3.2,50.1,122,115,,greenja05
407,Coby White,25,CHI,SG,1,0,30,7.8,21.9,0.357,4.7,12.5,0.375,3.1,9.4,0.333,0.464,21.9,21.9,1.000,0.0,6.3,6.3,12.5,1.6,0.0,4.7,4.7,42.3,136,119,,whiteco01
408,Yang Hansen,20,POR,C,5,0,29,3.2,14.5,0.222,0.0,4.8,0.000,3.2,9.7,0.333,0.222,8.1,9.7,0.833,4.8,1.6,6.4,0.0,0.0,3.2,4.8,6.4,14.5,80,123,,yangha01
409,GG Jackson II,21,MEM,PF,6,0,28,6.7,23.4,0.286,0.0,10.0,0.000,6.7,13.4,0.500,0.286,6.7,11.7,0.571,1.7,3.3,5.0,1.7,5.0,0.0,0.0,5.0,20.1,83,112,,jacksgg01
410,Dario Šarić,31,SAC,C,3,0,28,1.7,8.4,0.200,1.7,3.3,0.500,0.0,5.0,0.000,0.300,3.3,3.3,1.000,1.7,6.7,8.4,3.3,0.0,0.0,1.7,0.0,8.4,96,126,,saricda01
411,PJ Hall,23,MEM,C,7,0,27,8.7,15.6,0.556,1.7,5.2,0.333,6.9,10.4,0.667,0.611,3.5,5.2,0.667,5.2,10.4,15.6,3.5,0.0,3.5,1.7,5.2,22.6,127,115,,hallpj01
412,Tyson Etienne,26,BRK,PG,5,0,25,3.9,21.4,0.182,3.9,19.5,0.200,0.0,1.9,0.000,0.273,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,11.7,61,132,,etienty01
413,E.J. Liddell,25,BRK,PF,5,0,25,7.8,21.4,0.364,3.9,15.6,0.250,3.9,5.8,0.667,0.455,3.9,5.8,0.667,1.9,11.7,13.6,0.0,0.0,0.0,0.0,7.8,23.4,106,124,,liddeej01
414,Zach Edey,23,MEM,C,1,1,25,5.6,13.1,0.429,0.0,1.9,0.000,5.6,11.3,0.500,0.429,13.1,16.9,0.778,3.8,9.4,13.1,0.0,3.8,3.8,1.9,7.5,24.4,122,106,,edeyza01
415,JD Davison,23,HOU,PG,5,0,24,8.2,16.5,0.500,6.2,12.4,0.500,2.1,4.1,0.500,0.688,0.0,4.1,0.000,0.0,0.0,0.0,4.1,2.1,2.1,0.0,4.1,22.7,140,117,,davisjd01
416,Keshad Johnson,24,MIA,SF,5,0,24,5.7,26.5,0.214,1.9,13.2,0.143,3.8,13.2,0.286,0.250,0.0,0.0,,1.9,13.2,15.1,0.0,3.8,1.9,1.9,3.8,13.2,54,103,,johnske10
417,Joe Ingles,38,MIN,SF,5,0,23,0.0,4.1,0.000,0.0,4.1,0.000,0.0,0.0,,0.000,0.0,0.0,,0.0,0.0,0.0,12.4,2.1,0.0,0.0,4.1,0.0,122,118,,inglejo01
418,DeAndre Jordan,37,NOP,C,2,1,23,8.5,10.6,0.800,0.0,0.0,,8.5,10.6,0.800,0.800,2.1,4.3,0.500,8.5,12.8,21.3,0.0,0.0,0.0,2.1,2.1,19.2,140,124,,jordade01
419,Andre Jackson Jr.,24,MIL,SG,6,0,22,0.0,4.3,0.000,0.0,2.2,0.000,0.0,2.2,0.000,0.000,0.0,0.0,,2.2,2.2,4.3,13.0,4.3,2.2,4.3,6.5,0.0,84,113,,jacksan01
420,Yanic Konan Niederhauser,22,LAC,C,5,0,22,15.9,18.1,0.875,0.0,0.0,,15.9,18.1,0.875,0.875,11.3,18.1,0.625,6.8,6.8,13.6,4.5,0.0,2.3,2.3,4.5,43.1,158,122,,konanya01
421,Tolu Smith,25,DET,PF,2,0,22,13.0,17.3,0.750,0.0,0.0,,13.0,17.3,0.750,0.750,10.8,15.2,0.714,8.7,15.2,23.8,4.3,2.2,2.2,2.2,4.3,36.8,154,103,,smithto05
422,Johnny Juzang,24,MIN,SG,7,0,21,6.8,20.3,0.333,4.5,15.8,0.286,2.3,4.5,0.500,0.444,2.3,4.5,0.500,2.3,4.5,6.8,2.3,0.0,0.0,2.3,6.8,20.3,95,120,,juzanjo01
423,Zeke Nnaji,25,DEN,PF,6,0,21,9.2,16.1,0.571,2.3,9.2,0.250,6.9,6.9,1.000,0.643,4.6,6.9,0.667,2.3,2.3,4.6,4.6,0.0,0.0,4.6,16.1,25.3,115,119,,nnajize01
424,Jeff Green,39,HOU,PF,5,0,21,9.4,14.1,0.667,9.4,14.1,0.667,0.0,0.0,,1.000,0.0,0.0,,2.4,2.4,4.7,0.0,0.0,2.4,0.0,4.7,28.3,202,120,,greenje02
425,Mark Sears,23,MIL,PG,5,0,21,11.4,20.5,0.556,6.8,11.4,0.600,4.6,9.1,0.500,0.722,13.7,18.2,0.750,2.3,0.0,2.3,2.3,0.0,0.0,9.1,6.8,43.2,112,126,,searsma01
426,Eric Gordon,37,PHI,SG,3,0,21,6.9,11.5,0.600,4.6,9.2,0.500,2.3,2.3,1.000,0.800,0.0,0.0,,0.0,0.0,0.0,2.3,2.3,0.0,4.6,4.6,18.3,105,120,,gordoer01
427,Jamir Watkins,24,WAS,SG,3,0,21,6.7,8.9,0.750,0.0,2.2,0.000,6.7,6.7,1.000,0.750,0.0,0.0,,2.2,11.1,13.4,0.0,0.0,2.2,2.2,8.9,13.4,116,122,,watkija01
428,Antonio Reeves,25,CHO,SG,2,0,21,6.9,13.8,0.500,6.9,11.5,0.600,0.0,2.3,0.000,0.750,0.0,0.0,,2.3,2.3,4.6,0.0,0.0,0.0,0.0,2.3,20.6,153,126,,reevean01
429,Paul George,35,PHI,PF,1,1,21,4.6,20.6,0.222,2.3,9.2,0.250,2.3,11.5,0.200,0.278,9.2,16.1,0.571,0.0,16.1,16.1,6.9,0.0,4.6,2.3,0.0,20.6,88,109,,georgpa01
430,James Wiseman,24,IND,C,1,1,20,4.7,7.1,0.667,0.0,0.0,,4.7,7.1,0.667,0.667,0.0,0.0,,9.4,0.0,9.4,0.0,0.0,2.4,7.1,4.7,9.4,84,124,,wisemja01
431,Isaac Jones,25,2TM,PF,4,1,18,5.2,10.4,0.500,0.0,5.2,0.000,5.2,5.2,1.000,0.500,2.6,5.2,0.500,5.2,0.0,5.2,2.6,0.0,0.0,0.0,10.4,13.0,133,129,,jonesis01
431,Isaac Jones,25,SAC,PF,3,1,17,2.8,5.5,0.500,0.0,2.8,0.000,2.8,2.8,1.000,0.500,2.8,5.5,0.500,5.5,0.0,5.5,2.8,0.0,0.0,0.0,11.0,8.3,141,129,,jonesis01
431,Isaac Jones,25,DET,PF,1,0,1,47.6,95.3,0.500,0.0,47.6,0.000,47.6,47.6,1.000,0.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.3,116,122,,jonesis01
432,Hunter Tyson,25,DEN,PF,5,0,17,0.0,19.9,0.000,0.0,11.3,0.000,0.0,8.5,0.000,0.000,0.0,0.0,,2.8,25.5,28.4,0.0,2.8,0.0,0.0,5.7,0.0,15,99,,tysonhu01
433,Mohamed Diawara,20,NYK,SF,7,0,16,9.0,12.0,0.750,3.0,3.0,1.000,6.0,9.0,0.667,0.875,0.0,6.0,0.000,0.0,6.0,6.0,3.0,3.0,0.0,3.0,6.0,20.9,109,113,,diawamo01
434,Jahmyl Telfort,24,LAC,PF,3,0,16,0.0,6.2,0.000,0.0,6.2,0.000,0.0,0.0,,0.000,3.1,12.5,0.250,0.0,6.2,6.2,3.1,0.0,0.0,3.1,6.2,3.1,36,125,,telfoja01
435,Drew Peterson,26,CHO,PF,1,0,16,0.0,9.0,0.000,0.0,6.0,0.000,0.0,3.0,0.000,0.000,3.0,6.0,0.500,3.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,65,123,,peterdr01
436,N'Faly Dante,24,ATL,C,4,0,15,3.1,12.6,0.250,0.0,0.0,,3.1,12.6,0.250,0.250,3.1,3.1,1.000,9.4,12.6,22.0,0.0,6.3,0.0,3.1,3.1,9.4,90,99,,nfalyda01
437,Ron Harper Jr.,25,BOS,SF,3,0,15,10.0,23.3,0.429,6.7,20.0,0.333,3.3,3.3,1.000,0.571,0.0,0.0,,3.3,6.7,10.0,10.0,0.0,3.3,0.0,6.7,26.6,143,115,,harpero02
438,Pacome Dadiet,20,NYK,SG,5,0,14,3.4,13.7,0.250,0.0,3.4,0.000,3.4,10.3,0.333,0.250,6.8,6.8,1.000,0.0,10.3,10.3,6.8,0.0,0.0,0.0,3.4,13.7,116,118,,dadiepa01
439,Daeqwon Plowden,27,SAC,SG,1,0,14,3.3,16.7,0.200,0.0,10.0,0.000,3.3,6.7,0.500,0.200,0.0,0.0,,6.7,0.0,6.7,0.0,0.0,0.0,0.0,0.0,6.7,70,130,,plowdda01
440,Anthony Gill,33,WAS,PF,5,0,13,10.8,14.4,0.750,3.6,3.6,1.000,7.2,10.8,0.667,0.875,7.2,7.2,1.000,3.6,10.8,14.4,0.0,0.0,0.0,7.2,3.6,32.4,120,125,,gillan01
441,Harrison Ingram,23,SAS,SF,3,0,11,8.8,13.2,0.667,4.4,4.4,1.000,4.4,8.8,0.500,0.833,0.0,0.0,,13.2,0.0,13.2,0.0,0.0,0.0,0.0,8.8,21.9,182,121,,ingraha01
442,David Jones García,24,SAS,SF,3,0,11,17.6,30.7,0.571,0.0,0.0,,17.6,30.7,0.571,0.571,4.4,13.2,0.333,8.8,4.4,13.2,17.6,0.0,0.0,0.0,8.8,39.5,139,119,,jonesda06
443,Miles Kelly,23,DAL,PG,2,0,11,4.2,8.5,0.500,0.0,4.2,0.000,4.2,4.2,1.000,0.500,0.0,0.0,,4.2,12.7,17.0,0.0,0.0,0.0,4.2,8.5,8.5,79,112,,kellymi02
444,Jahmir Young,25,MIA,PG,2,0,10,4.5,13.6,0.333,0.0,4.5,0.000,4.5,9.1,0.500,0.333,0.0,0.0,,0.0,4.5,4.5,9.1,0.0,0.0,4.5,9.1,9.1,75,121,,youngja05
445,Thanasis Antetokounmpo,33,MIL,SF,4,0,9,5.3,10.6,0.500,0.0,0.0,,5.3,10.6,0.500,0.500,0.0,0.0,,0.0,5.3,5.3,0.0,5.3,10.6,0.0,5.3,10.6,99,99,,antetth01
446,Jacob Toppin,25,ATL,SF,3,0,9,15.7,21.0,0.750,0.0,0.0,,15.7,21.0,0.750,0.750,0.0,0.0,,0.0,5.2,5.2,0.0,0.0,0.0,0.0,5.2,31.4,140,119,,toppija01
447,Kevin Porter Jr.,25,MIL,PG,1,1,9,15.9,26.5,0.600,10.6,15.9,0.667,5.3,10.6,0.500,0.800,10.6,10.6,1.000,0.0,0.0,0.0,10.6,5.3,0.0,0.0,0.0,53.1,178,115,,porteke02
448,Riley Minix,25,SAS,SF,3,0,8,24.1,36.2,0.667,6.0,18.1,0.333,18.1,18.1,1.000,0.750,0.0,0.0,,6.0,6.0,12.1,6.0,6.0,0.0,0.0,6.0,54.3,153,104,,minixri01
449,Trey Jemison,26,NYK,C,1,0,8,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,6.0,6.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,233,121,,jemistr01
450,Doug McDermott,34,SAC,SF,1,0,8,11.7,17.6,0.667,11.7,17.6,0.667,0.0,0.0,,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,5.9,5.9,35.2,111,130,,mcderdo01
451,Hunter Sallis,22,PHI,SG,3,0,7,6.9,6.9,1.000,0.0,0.0,,6.9,6.9,1.000,1.000,0.0,0.0,,0.0,6.9,6.9,6.9,0.0,0.0,13.8,6.9,13.8,66,120,,sallihu01
452,Chris Mañon,24,LAL,SG,2,0,7,0.0,6.9,0.000,0.0,6.9,0.000,0.0,0.0,,0.000,0.0,0.0,,0.0,13.8,13.8,0.0,0.0,6.9,0.0,13.8,0.0,0,107,,manonch01
453,Amari Williams,24,BOS,PF,2,0,7,7.1,14.3,0.500,0.0,0.0,,7.1,14.3,0.500,0.500,0.0,0.0,,7.1,7.1,14.3,7.1,7.1,0.0,0.0,7.1,14.3,141,102,,william01
454,Colby Jones,23,DET,SG,1,0,7,6.8,20.4,0.333,0.0,13.6,0.000,6.8,6.8,1.000,0.333,0.0,0.0,,0.0,27.2,27.2,13.6,0.0,0.0,0.0,6.8,13.6,106,101,,jonesco02
455,Johni Broome,23,PHI,PF,2,0,6,16.1,40.1,0.400,0.0,8.0,0.000,16.1,32.1,0.500,0.400,0.0,0.0,,16.1,0.0,16.1,8.0,0.0,0.0,0.0,0.0,32.1,113,125,,broomjo01
456,Christian Koloko,25,LAL,C,2,0,6,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,8.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,,119,,kolokch01
457,Garrett Temple,39,TOR,SG,2,0,6,0.0,7.9,0.000,0.0,7.9,0.000,0.0,0.0,,0.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,7.9,0.0,0.0,0.0,0,114,,templga01
458,Danny Wolf,21,BRK,PF,2,0,6,0.0,8.1,0.000,0.0,0.0,,0.0,8.1,0.000,0.000,16.2,16.2,1.000,0.0,16.2,16.2,16.2,0.0,0.0,0.0,0.0,16.2,153,121,,wolfda01
459,Hunter Dickinson,25,NOP,C,1,0,5,9.8,19.6,0.500,0.0,0.0,,9.8,19.6,0.500,0.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,9.8,19.6,19.6,19.6,43,121,,dickihu01
460,Adou Thiero,21,LAL,SF,1,0,5,9.7,9.7,1.000,0.0,0.0,,9.7,9.7,1.000,1.000,19.3,19.3,1.000,9.7,0.0,9.7,0.0,0.0,0.0,0.0,0.0,38.6,227,125,,thierad01
461,Sharife Cooper,24,WAS,PG,2,0,4,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,11.7,0.0,0.0,0,133,,coopesh01
462,DaRon Holmes,23,DEN,PF,2,0,4,12.1,12.1,1.000,12.1,12.1,1.000,0.0,0.0,,1.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1,36.2,300,121,,holmeda01
463,Koby Brea,23,PHO,SG,1,0,4,12.1,24.2,0.500,0.0,12.1,0.000,12.1,12.1,1.000,0.500,24.2,24.2,1.000,0.0,0.0,0.0,12.1,0.0,0.0,0.0,0.0,48.5,164,125,,breako01
464,Pete Nance,25,MIL,PF,1,0,4,47.8,59.7,0.800,23.9,35.8,0.667,23.9,23.9,1.000,1.000,0.0,0.0,,0.0,11.9,11.9,0.0,0.0,0.0,0.0,0.0,119.4,207,119,,nancepe01
465,Myron Gardner,24,MIA,SF,1,0,3,15.1,15.1,1.000,15.1,15.1,1.000,0.0,0.0,,1.500,0.0,0.0,,0.0,15.1,15.1,15.1,0.0,0.0,0.0,30.3,45.4,279,111,,gardnmy01
466,Kyle Lowry,39,PHI,PG,1,0,3,16.1,16.1,1.000,16.1,16.1,1.000,0.0,0.0,,1.500,0.0,0.0,,0.0,0.0,0.0,16.1,16.1,0.0,0.0,0.0,48.2,282,89,,lowryky01
467,Orlando Robinson,25,ORL,C,1,0,2,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,,121,,robinor01
