"Name","TeamAbbreviation","GamesPlayed","Minutes","FTA","Technical Free Throw Trips","TwoPtShootingFoulsDrawn","2pt And 1 Free Throw Trips","ThreePtShootingFoulsDrawn","3pt And 1 Free Throw Trips","NonShootingFoulsDrawn","ShootingFoulsDrawnPct","TwoPtShootingFoulsDrawnPct","ThreePtShootingFoulsDrawnPct"
"Derrick White","BOS",76,2574,3.117134559535334,2,1.0454985479186834,0.1936108422071636,0.17424975798644723,0,0.3291384317521781,0.06225296442687747,0.17307692307692307,0.012857142857142857
"Dyson Daniels","ATL",76,2571,2.5598829767782045,0,1.2799414883891023,0.25598829767782044,0,0,0.10970927043335162,0.07157464212678936,0.09421265141318977,0
"Nikola Jokić","DEN",70,2571,8.36734693877551,10,3.116883116883117,1.0389610389610389,0.11131725417439703,0,1.3358070500927643,0.1174881836596894,0.1467248908296943,0.017857142857142856
"Austin Reaves","LAL",73,2550,7.0344032289064,19,2.6715356525081684,0.7303478762252547,0.2882952142994426,0.05765904285988853,0.6726888333653661,0.13391304347826086,0.22899505766062603,0.027624309392265192
"Toumani Camara","POR",78,2548,2.426810477657935,0,1.0978428351309708,0.211864406779661,0.01926040061633282,0.01926040061633282,0.211864406779661,0.07611548556430446,0.1417910447761194,0.002777777777777778
"Pascal Siakam","IND",78,2548,5.871139916126572,0,2.8783835303088066,0.7434235608082348,0.03812428516965307,0.019062142584826535,0.40030499428135724,0.11814671814671815,0.1556701030927835,0.006153846153846154
"Brook Lopez","MIL",80,2546,2.63811890651883,0,1.3955266679411202,0.4205696807493787,0,0,0.13381762569298414,0.08848484848484849,0.16150442477876106,0
"Karl-Anthony Towns","NYK",72,2517,8.008615625611906,13,4.268650871353045,1.253181907186215,0.019580967299784608,0,0.2153906402976307,0.15985401459854015,0.21144519883608148,0.0029498525073746312
"Bub Carrington","WAS",82,2458,1.6530532866588876,5,0.5639828860365617,0.1750291715285881,0.038895371450797356,0.019447685725398678,0.2528199144301828,0.04031209362808843,0.08033240997229917,0.004901960784313725
"Cade Cunningham","DET",70,2452,7.2492163009404385,24,3.154388714733542,0.7641065830721003,0.07836990595611286,0,0.5289968652037618,0.10423246999368288,0.13867355727820843,0.009478672985781991
