"Name","TeamAbbreviation","GamesPlayed","Minutes","Fouls","ShootingFouls","Loose Ball Fouls","Loose Ball Fouls Drawn","Offensive Fouls","Charge Fouls","Offensive Fouls Drawn","Charge Fouls Drawn","BlockingFouls","BlockingFoulsDrawn","Clear Path Fouls","Transition Take Fouls","Transition Take Fouls Drawn","Defensive 3 Seconds Violations","FoulsDrawn"
"Kelly Olynyk","NOP",44,891,3.3847000550357733,4.037610619469026,0.6084070796460177,0.3833515881708653,0.547645125958379,0,0.16592920353982302,0.22123893805309736,0,0,0,0.11061946902654868,0,0,5.257393209200438
"Chet Holmgren","OKC",32,877,1.9391327767304067,2.210242587601078,0.431266846361186,0.3767491926803014,0.10764262648008611,0.43057050592034446,0.1078167115902965,0,0,0,0,0,0,0.05390835579514825,5.113024757804091
"Alec Burks","MIA",49,863,1.0768335273573924,1.3969732246798603,0.11641443538998836,0.05820721769499418,0.17462165308498254,0,0.3492433061699651,0,0,0,0,0.05820721769499418,0,0,2.5029103608847496
"Neemias Queta","BOS",62,863,3.166069295101553,3.394877903513996,0.7742703990470519,0.7789095266626722,1.078490113840623,0,0.11911852293031566,0,0,0,0,0.05955926146515783,0,0.05955926146515783,3.47513481126423
"Chris Boucher","TOR",50,862,1.9562715765247412,2.413793103448276,0,0.576036866359447,0.1728110599078341,0.1728110599078341,0.11494252873563218,0.11494252873563218,0,0,0,0,0,0.11494252873563218,3.974654377880184
"Zion Williamson","NOP",30,857,2.302723953945521,2.3111612175873733,0,0.16787912702853947,0.33575825405707893,0.6155567991046447,0,0,0,0,0,0,0.1119194180190263,0,9.513150531617235
"Khris Middleton","WAS",37,843,2.0926339285714284,1.6228315612758815,0.27979854504756574,0.22259321090706732,0.05564830272676683,0,0,0.27979854504756574,0,0,0,0,0,0,3.8397328881469117
"KJ Simpson","CHA",36,842,1.646090534979424,1.579871269748391,0.23405500292568754,0.1772002362669817,0.23626698168930893,0,0.5851375073142189,0.058513750731421885,0,0,0,0,0,0,4.489072652096869
"Shake Milton","LAL",57,836,1.9976147883124626,1.8463371054198927,0.11911852293031566,0.05970149253731343,0.11940298507462686,0.05970149253731343,0.1786777843954735,0.1786777843954735,0,0,0,0,0,0,3.8208955223880596
"Dereck Lively II","DAL",36,833,2.937720329024677,3.57981220657277,0.6455399061032864,0.23529411764705882,0.5294117647058824,0,0,0,0,0,0,0,0,0.2347417840375587,3
"Garrison Mathews","ATL",47,830,2.284263959390863,2.3137697516930023,0.11286681715575621,0.11273957158962795,0.11273957158962795,0,0.39503386004514673,0.5643340857787811,0,0,0,0,0,0,3.8331454340473505
"Cam Whitmore","HOU",51,827,1.2910798122065728,1.4619883040935673,0.29239766081871343,0.05889281507656066,0,0.2944640753828033,0,0,0,0,0,0,0,0,2.7090694935217905
"Ryan Rollins","MIL",56,820,2.598936798582398,2.899408284023669,0.17751479289940827,0.17688679245283018,0.294811320754717,0.0589622641509434,0.35502958579881655,0,0,0,0,0,0,0,2.7712264150943398
"Marcus Sasser","DET",57,811,2.1518230723251643,2.0274299344066784,0.2981514609421586,0.17974835230677053,0.11983223487118035,0,0,0,0,0,0,0,0.05991611743559017,0,2.9358897543439184
"Steven Adams","HOU",57,795,1.8796992481203008,1.9546027742749055,0.8827238335435057,2.0547945205479454,0.43586550435865506,0,0.12610340479192939,0,0,0,0,0,0,0.12610340479192939,6.4134495641344955
"Aaron Holiday","HOU",62,792,1.9382192610539066,2.049427365883062,0,0,0.18259281801582472,0.06086427267194157,0.7233273056057866,0.06027727546714889,0,0,0,0,0,0,2.982349360925137
"Karlo Matković","NOP",42,791,3.2326928941750532,4.082876294942109,0.3656307129798903,0.3663003663003663,0.6105006105006106,0.06105006105006105,0,0,0,0,0,0,0,0.06093845216331505,2.442002442002442
"Caleb Houstan","ORL",58,788,1.994851994851995,1.6666666666666667,0.32051282051282054,0.1937984496124031,0.06459948320413436,0,0.0641025641025641,0,0,0,0,0,0,0,1.1627906976744187
"Vasilije Micić","PHX",41,785,1.4502094747019014,1.486748545572075,0.19392372333548805,0.06426735218508997,0.1928020565552699,0,0.45248868778280543,0.06464124111182935,0,0,0,0,0.06426735218508997,0,3.0848329048843186
"Jaylin Williams","OKC",47,784,2.419601837672282,3.2575291948371237,0.18438844499078058,0.3663003663003663,0.42735042735042733,0,0.24585125998770743,0.7375537799631223,0,0,0,0,0,0.06146281499692686,2.5641025641025643
"Pelle Larsson","MIA",55,782,2.9054916985951467,3.2196969696969697,0.25252525252525254,0.06459948320413436,0,0,0.44191919191919193,0.12626262626262627,0,0,0,0,0,0,3.55297157622739
"Cam Thomas","BKN",25,781,1.435562805872757,1.5696533682145193,0.13080444735120994,0.13020833333333334,0.3255208333333333,0.06510416666666667,0.4578155657292348,0,0,0,0,0,0,0,7.486979166666667
"Lindy Waters III","DET",52,777,1.975780752071383,2.2900763358778624,0.3816793893129771,0.1277139208173691,0.1277139208173691,0.06385696040868455,0.06361323155216285,0.2544529262086514,0,0,0,0,0,0,1.0855683269476373
"Lonzo Ball","CHI",35,777,1.6521477921297687,1.799640071985603,0.059988002399520096,0.06016847172081829,0.06016847172081829,0.12033694344163658,0.11997600479904019,0,0,0,0,0,0,0,1.0830324909747293
"Orlando Robinson","TOR",44,770,3.1230480949406623,3.865336658354115,0.685785536159601,0.37546933667083854,0.6257822277847309,0,0.06234413965087282,0,0,0,0,0,0,0,3.3166458072590737
"Eric Gordon","PHI",39,768,1.0309278350515463,1.2265978050355069,0,0.12861736334405144,0,0.12861736334405144,0.0645577792123951,0,0,0,0,0,0,0,2.122186495176849
"Gui Santos","GSW",56,762,2.9526281635301754,3.4415584415584415,0.6493506493506493,0.45395590142671854,0.0648508430609598,0,0.19480519480519481,0,0,0,0,0.06493506493506493,0,0,2.6588845654993514
"Landry Shamet","NYK",50,762,1.6943629846855652,1.8892508143322475,0.06514657980456026,0.19556714471968709,0.0651890482398957,0,0.5211726384364821,0.06514657980456026,0,0,0,0,0,0,2.346805736636245
"Svi Mykhailiuk","UTA",38,760,1.364213197969543,1.33248730964467,0.19035532994923857,0.06345177664974619,0,0,0.25380710659898476,0,0,0,0,0,0,0,1.9035532994923858
"Andre Drummond","PHI",40,751,3.1302031302031303,3.436880370125578,0.26437541308658297,1.0067114093959733,1.0067114093959733,0.2684563758389262,0.06609385327164574,0,0,0,0,0,0,0.3304692663582287,4.630872483221476
"Jabari Walker","POR",60,749,2.754908169727676,2.4761904761904763,0.5079365079365079,0.505369551484523,0.3790271636133923,0,0.31746031746031744,0.06349206349206349,0,0,0,0.06349206349206349,0.06317119393556538,0,3.9166140240050535
"Jay Huff","MEM",64,748,2.4096385542168677,3.4034653465346536,0.6806930693069307,0.431832202344232,0,0.061690314620604564,0.12376237623762376,0,0,0,0,0,0,0.24752475247524752,2.7143738433066007
"Drew Eubanks","LAC",61,746,2.028985507246377,2.504816955684008,0.25690430314707774,0.5167958656330749,0.45219638242894056,0,0.06422607578676943,0.06422607578676943,0,0,0,0.06422607578676943,0,0,4.069767441860465
"Talen Horton-Tucker","CHI",58,724,1.8855864493448387,2.029169308814204,0.19023462270133165,0.19329896907216496,0.06443298969072164,0.32216494845360827,0.12682308180088775,0.12682308180088775,0,0,0,0,0,0,4.31701030927835
"Gary Harris","ORL",48,711,1.5723270440251573,1.047486033519553,0.20949720670391062,0.13986013986013987,0.06993006993006994,0,0,0,0,0,0,0.06983240223463687,0,0,0.48951048951048953
"Micah Potter","UTA",38,705,1.7158544955387782,2.200825309491059,0.4126547455295736,0.273972602739726,0.2054794520547945,0.0684931506849315,0.2063273727647868,0.0687757909215956,0,0,0,0,0,0,1.7808219178082192
"Jett Howard","ORL",60,701,2.390158172231986,2.6666666666666665,0.2807017543859649,0,0.2112676056338028,0,0,0,0,0,0,0,0,0,1.267605633802817
"DeAndre Jordan","DEN",56,691,2.6409707351891507,2.9829545454545454,0.21306818181818182,1.1477761836441893,0.7173601147776184,0,0,0,0,0,0,0.07102272727272728,0,0,4.878048780487805
"Quinten Post","GSW",42,686,2.988836874324811,3.602305475504323,0.2881844380403458,0.4319654427645788,0.503959683225342,0.07199424046076314,0.07204610951008646,0,0,0,0,0,0,0.1440922190201729,1.655867530597552
"Blake Wesley","SAS",58,683,1.6260162601626016,1.7605633802816902,0.07042253521126761,0.21291696238466998,0,0,0.4225352112676056,0,0,0,0,0,0.07097232079488999,0,3.97444996451384
"Sandro Mamukelashvili","SAS",61,681,2.1253985122210413,2.264685067232838,0.4953998584571833,0.3546099290780142,0,0.07092198581560284,0.07077140835102619,0,0,0,0,0,0,0,3.049645390070922
"Marcus Smart","WAS",34,680,1.8057921635434413,1.4976174268209665,0.2042205582028591,0.2728512960436562,0.2728512960436562,0,0.5445881552076243,0.34036759700476515,0,0,0,0,0.06821282401091405,0,4.638472032742156
"Jalen Pickett","DEN",49,666,1.411589895988113,1.3353115727002967,0.14836795252225518,0,0.2976190476190476,0,0,0,0,0,0,0,0,0,0.5952380952380952
"Tosan Evbuomwan","BKN",28,665,2.0841227737779464,2.0377358490566038,0.37735849056603776,0,0.228310502283105,0.15220700152207,0.1509433962264151,0.07547169811320754,0,0,0,0,0,0,4.4901065449010655
"Antonio Reeves","NOP",44,660,1.4641288433382138,2.4963289280469896,0,0.072992700729927,0,0,0,0,0,0,0,0,0,0.07342143906020558,1.6058394160583942
"Kyle Lowry","PHI",35,659,2.3378582202111615,2.3343373493975905,0.5271084337349398,0.22658610271903323,0.0755287009063444,0,0.07530120481927711,0.45180722891566266,0,0,0,0,0,0,2.794561933534743
"Reed Sheppard","HOU",52,653,1.90032269630692,2.720114531138153,0,0,0,0,0,0,0,0,0,0,0,0,0.7902298850574713
"Herbert Jones","NOP",20,648,2.4691358024691357,2.7611940298507465,0.29850746268656714,0.07501875468867217,0.07501875468867217,0,0.44776119402985076,0.29850746268656714,0,0,0,0,0,0.07462686567164178,2.9257314328582145
"AJ Johnson","WAS",29,638,1.9025875190258752,2.5095057034220534,0.07604562737642585,0,0.15232292460015232,0,0,0,0,0,0,0.07604562737642585,0,0,2.0563594821020565
"Maxi Kleber","DAL",34,637,2.5267993874425727,3.1321619556913673,0.3819709702062643,0.4604758250191865,0.23023791250959325,0.07674597083653108,0.30557677616501144,0,0,0,0,0.07639419404125286,0,0,2.2256331542594014
"Delon Wright","NYK",40,634,0.9792401096748923,1.4139827179890023,0,0.15625,0.078125,0.078125,0.31421838177533384,0.07855459544383346,0,0,0,0,0,0,2.421875
"Jericho Sims","MIL",53,631,2.5793650793650795,2.8526148969889067,0.4754358161648177,0.7154213036565977,0.8744038155802861,0,0.07923930269413629,0,0,0,0,0,0,0.07923930269413629,1.7488076311605723
"Josh Okogie","CHA",40,625,1.8852787805856397,1.9138755980861244,0.1594896331738437,0.08071025020177562,0,0.16142050040355124,0.6379585326953748,0,0,0,0,0,0.08071025020177562,0,5.488297013720743
"Daniel Theis","NOP",38,621,2.7205596579867857,3.12256049960968,0.468384074941452,1.0061919504643964,0.38699690402476783,0,0.078064012490242,0.234192037470726,0,0,0,0.078064012490242,0,0,3.48297213622291
"Jeff Dowtin Jr.","PHI",41,621,1.1590727418065547,0.8807045636509208,0,0.07980845969672785,0.07980845969672785,0,0.08006405124099279,0,0,0,0,0,0.07980845969672785,0,3.0327214684756583
"Cory Joseph","ORL",50,612,2.035830618892508,2.2819885900570496,0.16299918500407498,0.16273393002441008,0.08136696501220504,0,0.6519967400162999,0.08149959250203749,0,0,0,0,0,0,3.091944670463792
"Kessler Edwards","DAL",40,608,2.449624654286843,3.1496062992125986,0.15748031496062992,0.23790642347343377,0.07930214115781126,0,0.07874015748031496,0,0,0,0,0,0,0,1.189532117367169
"Zeke Nnaji","DEN",57,608,2.4671707122960607,3.7037037037037037,0,0.6430868167202572,0.24115755627009647,0,0.07880220646178093,0.07880220646178093,0,0,0,0,0,0,3.054662379421222
"Pat Connaughton","MIL",41,603,1.858736059479554,2.4979184013322233,0.08326394671107411,0,0,0.08196721311475409,0.4163197335553705,0,0,0,0,0,0,0.16652789342214822,2.540983606557377
"Ajay Mitchell","OKC",36,597,2.7926078028747434,3.217821782178218,0.24752475247524752,0.1635322976287817,0.08176614881439084,0.1635322976287817,0.6600660066006601,0.24752475247524752,0,0,0,0,0.1635322976287817,0.08250825082508251,4.497138184791496
"Brandon Ingram","NOP",18,595,1.8931426167437948,1.854974704890388,0.16863406408094436,0.16792611251049538,0.5877413937867338,0.5037783375314862,0.08431703204047218,0,0,0,0,0,0.08396305625524769,0,5.541561712846348
"Jared McCain","PHI",23,592,1.5651438240270727,0.9314140558848434,0.42337002540220153,0.08453085376162299,0.08453085376162299,0.16906170752324598,0.0846740050804403,0,0,0,0,0,0,0,3.8038884192730347
"Cam Reddish","LAL",33,589,1.7939090529828954,2.1469859620148637,0,0.08431703204047218,0.08431703204047218,0.08431703204047218,0.08257638315441784,0,0,0,0,0,0,0,1.93929173693086
"Jae'Sean Tate","HOU",52,588,3.3238751520064858,2.8846153846153846,0.7211538461538461,0.5742411812961444,0.2461033634126333,0.2461033634126333,0.40064102564102566,0.6410256410256411,0,0,0,0,0,0,4.3478260869565215
"Olivier-Maxence Prosper","DAL",52,584,1.1470708725931995,1.1409942950285248,0.24449877750611246,0.6589785831960461,0.08237232289950576,0.08237232289950576,0.16299918500407498,0,0,0,0,0,0,0,4.365733113673806
"Jarred Vanderbilt","LAL",36,581,2.840186519711742,2.122241086587436,0.4244482173174873,0.6773920406435224,0.2540220152413209,0.0846740050804403,0.3395585738539898,0,0,0,0,0.08488964346349745,0.0846740050804403,0,3.302286198137172
"Joel Embiid","PHI",19,574,1.7879948914431674,1.788756388415673,0.08517887563884156,0.2553191489361702,0.3404255319148936,0.5957446808510638,0.08517887563884156,0,0,0,0,0,0,0,9.957446808510639
