"Name","TeamAbbreviation","GamesPlayed","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Jabari Smith Jr.","HOU",57,1716,3497,19.95996568487275,4.2893909064912785,8.264226479839863,0.5190311418685121,2.802402058907635,7.921075207320561,0.35379061371841153,0.35379061371841153,2.973977695167286,4.861309694023449,3.717472118959108,8.149842722333428,0.2573634543894767,0.5666666666666667,0.6967213114754098,0.9693877551020408,0.48939929328621906,0.5346499097472924,0.5247349823321554,0.5601926163723917,1.6013726050900772,0.7434944237918215,0.08996539792387544,0.11438375750643409,0.01444043321299639,16.454479942349266
"Anthony Davis","DAL",51,1706,3450,36.55072463768116,12.608695652173912,22.782608695652176,0.5534351145038168,1.0144927536231885,3.5942028985507246,0.28225806451612906,0.28225806451612906,8.289855072463768,15.246376811594203,9.971014492753623,2.6956521739130435,0.34782608695652173,0.6045977011494252,0.6848958333333334,0.8857142857142857,0.13626373626373625,0.5241643956043956,0.5357142857142857,0.5881529850746269,2.9565217391304346,1.1304347826086956,0.04961832061068702,0,0,30.813347236704903
"Bradley Beal","PHX",53,1702,3466,26.024235429890364,7.010963646855164,12.406231967686093,0.5651162790697675,2.942873629544143,7.6168493941142525,0.38636363636363635,0.38636363636363635,3.1736872475476052,7.27062896710906,6.75129832660127,7.703404500865551,1.1252163877668782,0.5185185185185185,0.5361702127659574,0.8725490196078431,0.3804034582132565,0.5163283141210374,0.5706051873198847,0.5949868073878628,0.4616272360069244,0.5481823427582228,0.044186046511627906,0.05770340450086555,0.007575757575757576,22.561939905113338
"Georges Niang","ATL",79,1697,3549,22.090729783037474,3.3812341504649197,5.945336714567484,0.5687203791469194,4.677373908143139,11.524373062834602,0.4058679706601467,0.4058679706601467,1.2961397576782192,5.635390250774866,1.1270780501549733,13.863060016906172,0.16906170752324598,0.8333333333333334,0.8620689655172413,0.9879518072289156,0.6596774193548387,0.5566681669394434,0.5951612903225807,0.6077519379844961,0.22541561003099464,0.4508312200619893,0.07582938388625593,0.14088475626937166,0.012224938875305624,18.229689067201605
"Jakob Poeltl","TOR",57,1686,3481,23.671358804941107,10.399310542947429,16.546969261706405,0.6284722222222222,0.028727377190462512,0.08618213157138753,0.3333333333333333,0.5,2.7865555874748638,15.512783682849756,5.285837403045102,0.08618213157138753,0,0.7458563535911602,0.9121621621621622,1,0.0051813471502590676,0.5683692906574395,0.6278065630397237,0.64375,3.7920137891410515,1.005458201666188,0.06076388888888889,0,0,18.834756403817178
"Scotty Pippen Jr.","MEM",79,1683,3582,21.747627024008935,5.527638190954774,10.469011725293132,0.528,2.4288107202680065,6.141820212171971,0.39545454545454545,0.39908256880733944,3.4059184812953656,5.527638190954774,5.527638190954774,7.11892797319933,0.16750418760469013,0.5,0.5129533678756477,0.9770114942528736,0.3697478991596639,0.55305,0.5521008403361345,0.5824587706146926,0.27917364600781686,1.1446119486320492,0.10933333333333334,0.05583472920156337,0.00909090909090909,19.50803701899659
"Kevin Huerter","CHI",69,1679,3510,19.4017094017094,3.561253561253561,6.068376068376068,0.5868544600938967,3.7606837606837606,11.13960113960114,0.3375959079283887,0.3393316195372751,0.9971509971509972,5.413105413105413,1.7094017094017093,10.512820512820513,0.7692307692307693,0.76,0.811965811965812,0.9318181818181818,0.6473509933774835,0.5478967607973422,0.5347682119205298,0.5431309904153354,0.45584045584045585,0.31339031339031337,0.051643192488262914,0.08547008547008547,0.0076726342710997444,17.513267626990142
"Santi Aldama","MEM",65,1660,3575,22.685314685314687,5.398601398601398,9.006993006993007,0.5993788819875776,3.3566433566433567,9.118881118881118,0.36809815950920244,0.37267080745341613,1.8181818181818181,6.937062937062937,3.86013986013986,9.734265734265735,0.3356643356643357,0.6424870466321243,0.7701863354037267,0.9666666666666667,0.5030864197530864,0.556630612244898,0.5756172839506173,0.5911078717201166,1.7902097902097902,0.5874125874125874,0.06521739130434782,0,0,18.418491484184916
"AJ Green","MIL",73,1659,3422,15.80946814728229,0.7890122735242548,1.782583284628872,0.4426229508196721,4.5295149035651665,10.607831677381649,0.42699724517906334,0.42777777777777776,0.6428988895382817,1.168907071887785,0.4091174751607247,12.799532437171244,0.7890122735242548,0.7407407407407407,0.7407407407407407,0.9419354838709677,0.8561320754716981,0.5356595693779904,0.6120283018867925,0.6232718894009217,0,0.029222676797194622,0.01639344262295082,0.058445353594389245,0.005509641873278237,12.663638792412504
"Al Horford","BOS",60,1659,3304,16.283292978208234,2.4515738498789346,4.4491525423728815,0.5510204081632653,3.450363196125908,9.50363196125908,0.3630573248407643,0.36421725239616615,1.0290556900726393,4.0556900726392255,0.847457627118644,10.260290556900726,0.09079903147699758,0.8271604938271605,0.8933333333333333,0.9912280701754386,0.6811279826464208,0.5486327173913044,0.5466377440347071,0.5615866388308977,0.36319612590799033,0.24213075060532688,0.05442176870748299,0,0,13.985082578582846
