"Name","TeamAbbreviation","GamesPlayed","Minutes","Turnovers","LiveBallTurnovers","DeadBallTurnovers","LiveBallTurnoverPct","LostBallTurnovers","LostBallOutOfBoundsTurnovers","BadPassTurnovers","BadPassOutOfBoundsTurnovers","Travels","3SecondViolations","StepOutOfBoundsTurnovers","OffensiveGoaltends"
"Karl-Anthony Towns","NYK",72,2517,3.759545721558645,1.6839631877814765,2.0755825337771685,0.4479166666666667,0.6265909535931075,0.1958096729978461,1.057372234188369,0.4895241824946152,0.2349716075974153,0.05874290189935383,0.09790483649892305,0.019580967299784608
"Bub Carrington","WAS",82,2458,2.7421236872812136,1.7113963438350837,1.03072734344613,0.624113475177305,0.544535200311163,0.21392454297938546,1.1668611435239207,0.38895371450797356,0.15558148580318942,0,0.07779074290159471,0
"Cade Cunningham","DET",70,2452,6.054075235109718,4.486677115987461,1.567398119122257,0.7411003236245954,1.7633228840125392,0.2938871473354232,2.7233542319749215,0.6661442006269592,0.11755485893416928,0,0.05877742946708464,0
"Tyrese Haliburton","IND",73,2451,2.3608105449537673,1.4558331693881565,0.9049773755656109,0.6166666666666667,0.43281526657485736,0.07869368483179225,1.0230179028132993,0.4721621089907535,0.0983671060397403,0,0.0983671060397403,0
"Coby White","CHI",74,2450,3.3759298111768072,1.831012778943353,1.5449170322334542,0.5423728813559322,0.8392141903490368,0.26702269692923897,0.9917985885943162,0.4386801449551783,0.30516879649055884,0,0.11443829868395956,0
"LeBron James","LAL",70,2444,5.220883534136546,3.1325301204819276,2.0883534136546187,0.6,0.8634538152610441,0.28112449799196787,2.2690763052208833,1.1847389558232932,0.20080321285140562,0,0.060240963855421686,0
"Domantas Sabonis","SAC",70,2429,4.057854560064283,2.269987946966653,1.7878666130976295,0.5594059405940595,1.0847730012053034,0.2008838891120932,1.18521494576135,0.4821213338690237,0.16070711128967458,0.040176777822418644,0,0.020088388911209322
"Jamal Murray","DEN",67,2418,2.7744270205066344,2.090872537193406,0.6835544833132288,0.7536231884057971,0.5227181342983515,0.10052271813429835,1.5681544028950543,0.3618817852834741,0.08041817450743868,0,0.02010454362685967,0
"Alperen Sengun","HOU",76,2394,3.977039770397704,2.132021320213202,1.845018450184502,0.5360824742268041,1.0250102501025011,0.34850348503485035,1.1070110701107012,0.3895038950389504,0.36900369003690037,0.06150061500615006,0.02050020500205002,0
"Rudy Gobert","MIN",72,2388,1.865046102263202,1.0896898575020955,0.7753562447611064,0.5842696629213483,0.6286672254819782,0.041911148365465216,0.46102263202011734,0.14668901927912825,0.06286672254819782,0.041911148365465216,0,0
"Dillon Brooks","HOU",75,2388,1.5708970649028524,0.8061182306738321,0.7647788342290203,0.5131578947368421,0.24803637866887143,0.0826787928896238,0.5580818520049607,0.18602728400165358,0.10334849111202976,0,0.02066969822240595,0
"Tobias Harris","DET",73,2306,1.7838405036726128,1.0493179433368311,0.7345225603357818,0.5882352941176471,0.4826862539349423,0.16789087093389296,0.5666316894018888,0.06295907660020986,0.1049317943336831,0,0.06295907660020986,0
"Jalen Brunson","NYK",65,2301,3.545945945945946,2.4216216216216218,1.1243243243243244,0.6829268292682927,0.8432432432432433,0.3675675675675676,1.5783783783783785,0.5621621621621622,0.043243243243243246,0,0.021621621621621623,0
"Darius Garland","CLE",75,2301,3.9407839866555463,2.6063386155129273,1.3344453711426187,0.6613756613756614,0.8340283569641368,0.25020850708924103,1.7723102585487907,0.5421184320266889,0.2085070892410342,0,0.041701417848206836,0
"Jarrett Allen","CLE",82,2296,2.03910027328148,1.0721042673954173,0.9669960058860626,0.5257731958762887,0.42043304603741855,0.0840866092074837,0.6516712213579987,0.3363464368299348,0.1471515661130965,0,0.021021652301870926,0.021021652301870926
