"Name","TeamAbbreviation","GamesPlayed","Minutes","Assists","AssistPoints","TwoPtAssists","ThreePtAssists","AtRimAssists","ShortMidRangeAssists","LongMidRangeAssists","Corner3Assists","Arc3Assists"
"Dennis Schröder","BKN",75,2106,9.437047418827376,23.499182434010745,4.811959822471385,4.625087596355992,3.06003270263957,1.5416958654519972,0.2102312543798178,1.051156271899089,3.5739313244569026
"Damian Lillard","MIL",58,2093,9.455719557195572,22.64760147601476,5.719557195571956,3.736162361623616,3.9206642066420665,1.2915129151291513,0.507380073800738,1.0378228782287824,2.6983394833948338
"Russell Westbrook","DEN",75,2092,10.414767547857794,23.085688240656335,8.158614402917047,2.2561531449407477,5.28714676390155,2.2333637192342755,0.6381039197812215,0.5925250683682771,1.6636280765724705
"Kelly Oubre Jr.","PHI",60,2078,2.578180950107424,6.373836237765577,1.360706612556696,1.2174743375507282,1.0742420625447602,0.214848412508952,0.07161613750298401,0.214848412508952,1.0026259250417762
"Luguentz Dort","OKC",71,2073,2.6608051827857473,6.316520129569644,1.6658954187875983,0.994909763998149,1.041184636742249,0.5552984729291994,0.06941230911614993,0.25451180009254976,0.7403979639055993
"Nickeil Alexander-Walker","MIN",82,2073,5.324737344794651,12.750716332378223,3.2234957020057307,2.1012416427889207,2.3161413562559696,0.7879656160458453,0.11938872970391595,0.7402101241642789,1.3610315186246418
"Onyeka Okongwu","ATL",74,2064,3.8121170864533696,9.121851599727705,2.314499659632403,1.4976174268209665,1.3841615611527116,0.8622645790787383,0.06807351940095303,0.4538234626730202,1.0437939641479463
"Malik Monk","SAC",65,2054,8.497652582159624,19.76525821596244,5.727699530516432,2.7699530516431925,3.779342723004695,1.408450704225352,0.539906103286385,0.8450704225352113,1.9248826291079812
"Jaylen Wells","MEM",79,2043,3.074099564120211,7.29525120440468,1.9270474879559532,1.1470520761642578,1.1929341592108282,0.6423491626519844,0.09176416609314063,0.3441156228492774,0.8029364533149805
"Jalen Duren","DET",78,2035,4.957102001906578,11.391801715919923,3.4795042897998094,1.4775977121067683,2.0972354623450906,0.7626310772163966,0.6196377502383222,0.4051477597712107,1.0724499523355577
"Jalen Wilson","BKN",79,2031,3.6069651741293534,9.378109452736318,1.4427860696517414,2.1641791044776117,0.845771144278607,0.4975124378109453,0.09950248756218906,0.5970149253731343,1.5671641791044777
"Miles Bridges","CHA",64,2029,5.942966690630242,14.13850946561227,3.6903906062784566,2.2525760843517855,2.5641025641025643,0.9825065899832255,0.14378145219266714,0.5751258087706685,1.6774502755811167
"Davion Mitchell","MIA",74,2027,8.89487870619946,21.36731193334967,5.317324185248713,3.5775545209507476,2.8424405782896347,2.1073266356285223,0.36755697133055626,1.2987012987012987,2.278853222249449
"Franz Wagner","ORL",60,2023,7.034926925935101,16.86896210056973,4.235818677235571,2.7991082486995293,3.2697547683923704,0.6935843448105028,0.2724795640326976,1.1394599950458262,1.6596482536537032
"Quentin Grimes","PHI",75,2013,5.525933107125545,13.45128453708192,3.1265147842947165,2.399418322830829,2.2297624818225885,0.7270964614638875,0.16965584100824044,0.6543868153174988,1.74503150751333
"Jordan Poole","WAS",68,2001,7.069288389513108,16.666666666666668,4.5411985018726595,2.5280898876404496,3.066479400749064,1.2172284644194757,0.25749063670411987,0.6320224719101124,1.896067415730337
"Devin Vassell","SAS",64,1983,4.462326261887345,10.899780541331383,2.487198244330651,1.9751280175566934,1.633747866374055,0.5120702267739575,0.34138015118263837,0.7802974884174592,1.1948305291392343
"Draymond Green","GSW",68,1983,9.394162374294824,22.639195486877608,5.543291636006868,3.850870738287957,3.8753985773853326,1.4226146676477802,0.2452783909737552,0.8584743684081433,2.9923963698798137
"Klay Thompson","DAL",72,1965,3.6015896671634375,8.42026825633383,2.384500745156483,1.2170889220069547,1.6641828117237953,0.620963735717834,0.09935419771485346,0.44709388971684055,0.7699950322901142
"Tyrese Maxey","PHI",52,1960,7.98689846308894,19.929453262786595,4.031242126480222,3.9556563366087176,2.4691358024691357,1.1589821113630638,0.4031242126480222,1.1085915847820609,2.8470647518266565
"Norman Powell","LAC",60,1958,3.1187624750499,7.310379241516966,2.0459081836327346,1.0728542914171657,1.372255489021956,0.6237524950099801,0.0499001996007984,0.6736526946107785,0.3992015968063872
"Yves Missi","NOP",73,1956,2.4830699774266365,5.944319036869827,1.5048908954100828,0.9781790820165538,0.6019563581640331,0.5517933283170303,0.3511412089290193,0.2508151492350138,0.72736393278154
"Keon Ellis","SAC",80,1948,3.0816640986132513,7.4216743708269135,1.8233179250128402,1.258346173600411,1.0529019003595275,0.539291217257319,0.23112480739599384,0.4879301489470981,0.7704160246533128
"Bilal Coulibaly","WAS",59,1948,4.869734599464329,12.393474555636718,2.21572924275627,2.6540053567080593,1.1930849768687606,0.8035062089116143,0.2191380569758948,0.6330654979303628,2.0209398587776968
"Kyle Kuzma","MIL",65,1936,3.747534516765286,9.418145956607495,1.824457593688363,1.9230769230769231,1.1094674556213018,0.46844181459566075,0.2465483234714004,0.5424063116370809,1.3806706114398422
"Julian Champagnie","SAS",82,1932,2.751611303916708,6.370847793753098,1.8839861179970252,0.8676251859196827,1.3882002974714922,0.421417947446703,0.07436787307882994,0.2974714923153198,0.570153693604363
"Keon Johnson","BKN",79,1925,4.525471942073959,11.249030256012412,2.3273855702094646,2.1980863718644943,1.6808895784846134,0.517196793379881,0.12929919834497025,0.6723558313938454,1.5257305404706492
"Naji Marshall","DAL",69,1919,5.264490002531005,12.705644140723868,3.087825866869147,2.176664135661858,1.9994937990382182,0.6580612503163756,0.43027081751455326,0.6580612503163756,1.5186028853454823
"Guerschon Yabusele","PHI",70,1896,3.9288558534642952,9.477037430315901,2.3095301300769844,1.6193257233873108,1.645872046721529,0.37164852667905496,0.29200955667640033,0.5309264666843642,1.0883992567029466
"Jrue Holiday","BOS",62,1896,6.199740596627756,15.460440985732815,3.138780804150454,3.060959792477302,2.3086900129701684,0.622568093385214,0.20752269779507135,0.7782101167315175,2.2827496757457846
"Gary Trent Jr.","MIL",74,1893,2.2422680412371134,5.38659793814433,1.3402061855670102,0.9020618556701031,0.6958762886597938,0.4381443298969072,0.20618556701030927,0.33505154639175255,0.5670103092783505
"Josh Green","CHA",68,1887,2.8066528066528065,6.8087318087318085,1.6112266112266111,1.1954261954261953,0.9875259875259875,0.4677754677754678,0.15592515592515593,0.31185031185031187,0.8835758835758836
"Anthony Black","ORL",78,1887,6.405124099279424,15.639178009073925,3.576194288764345,2.8289298105150786,2.268481451828129,1.0141446490525754,0.29356818788364025,1.0408326661329064,1.7880971443821725
"Andrew Nembhard","IND",65,1881,8.391248391248391,19.974259974259976,5.199485199485199,3.191763191763192,2.8056628056628057,1.7245817245817245,0.6692406692406693,0.7722007722007722,2.4195624195624195
"Nic Claxton","BKN",70,1880,4.226110363391656,10.228802153432031,2.4495289367429343,1.7765814266487214,1.1574697173620458,0.9152086137281292,0.3768506056527591,0.4037685060565276,1.3728129205921937
"Cason Wallace","OKC",68,1876,4.442732408834104,10.991268618387263,2.336928608115049,2.105803800719055,1.4637904468412943,0.7190549563430919,0.15408320493066255,0.6163328197226502,1.4894709809964046
"Derrick Jones Jr.","LAC",77,1873,1.5739769150052465,3.8037775445960125,0.9181532004197271,0.6558237145855194,0.5246589716684156,0.2623294858342078,0.1311647429171039,0.15739769150052466,0.49842602308499473
"RJ Barrett","TOR",58,1869,8.018386108273749,18.896833503575078,5.158324821246169,2.860061287027579,3.5240040858018387,1.3534218590398366,0.2808988764044944,1.09805924412666,1.7620020429009193
"Rui Hachimura","LAL",59,1869,2.2181146025878005,5.835753894903617,0.8185899128597834,1.399524689728017,0.5545286506469501,0.15843675732770002,0.10562450488513335,0.29046738843411674,1.1090573012939002
"Buddy Hield","GSW",82,1864,3.4832336885885105,8.474135690148167,1.9755653756173641,1.5076683129711463,1.3257083441642838,0.5978684689368339,0.05198856251624642,0.5198856251624643,0.9877826878086821
"Trey Murphy III","NOP",53,1854,4.851612903225806,11.587096774193549,2.967741935483871,1.8838709677419354,1.4967741935483871,1.238709677419355,0.23225806451612904,0.6709677419354839,1.2129032258064516
"Zaccharie Risacher","ATL",75,1843,2.3391812865497075,5.924230867022629,1.0933129926264937,1.2458682939232137,0.5593694380879736,0.5339435545385202,0,0.4576659038901602,0.7882023900330537
"Andrew Wiggins","MIA",60,1842,4.201010369582558,10.582291943632013,2.0207391651156605,2.180271204466897,0.9040148896570062,0.9837809093326243,0.1329433661260303,0.6647168306301515,1.5155543738367456
