"Name","TeamAbbreviation","GamesPlayed","Minutes","Rebounds","DefRebounds","FTDefRebounds","DefFTReboundPct","DefTwoPtRebounds","DefTwoPtReboundPct","DefThreePtRebounds","DefThreePtReboundPct","DefFGReboundPct","OffRebounds","FTOffRebounds","OffFTReboundPct","OffTwoPtRebounds","OffTwoPtReboundPct","OffThreePtRebounds","OffThreePtReboundPct","OffFGReboundPct","DefAtRimReboundPct","DefShortMidRangeReboundPct","DefLongMidRangeReboundPct","DefArc3ReboundPct","DefCorner3ReboundPct","OffAtRimReboundPct","OffShortMidRangeReboundPct","OffLongMidRangeReboundPct","OffArc3ReboundPct","OffCorner3ReboundPct","SelfOReb","SelfORebPct"
"Johnny Furphy","IND",50,379,4.355828220858895,5.911330049261084,0.6157635467980296,0.16129032258064516,1.8472906403940887,0.09316770186335403,3.4482758620689653,0.15555555555555556,0.12609970674486803,2.8117359413202934,0.12224938875305623,0.07692307692307693,1.3447432762836187,0.05670103092783505,1.3447432762836187,0.06748466257668712,0.06162464985994398,0.03278688524590164,0.15789473684210525,0.041666666666666664,0.15789473684210525,0.14285714285714285,0.054945054945054944,0.0641025641025641,0.04,0.05511811023622047,0.1111111111111111,3,0.06818181818181818
"Charles Bassey","SAS",36,376,9.5,12,1.25,0.47619047619047616,5.75,0.26285714285714284,5,0.20202020202020202,0.23056300268096513,7,0,0,5.125,0.18552036199095023,1.875,0.08875739644970414,0.14358974358974358,0.25301204819277107,0.26865671641791045,0.28,0.19333333333333333,0.22916666666666666,0.17391304347826086,0.21978021978021978,0.13157894736842105,0.08888888888888889,0.08823529411764706,8,0.19047619047619047
"Dominick Barlow","ATL",35,375,5.325814536340852,6.25,0.125,0.06666666666666667,3.5,0.1564245810055866,2.625,0.1390728476821192,0.1484848484848485,4.396984924623116,0,0,2.386934673366834,0.1111111111111111,2.0100502512562812,0.08695652173913043,0.09859154929577464,0.16129032258064516,0.1566265060240964,0.14705882352941177,0.1485148514851485,0.12,0.08928571428571429,0.14444444444444443,0.04,0.10218978102189781,0.0425531914893617,4,0.08695652173913043
"Danté Exum","DAL",20,372,2.1498371335504887,3.7859007832898173,0,0,1.8276762402088773,0.06896551724137931,1.95822454308094,0.09375,0.07988980716253444,0.5201560468140443,0,0,0.26007802340702213,0.01,0.26007802340702213,0.01282051282051282,0.011235955056179775,0.06818181818181818,0.07865168539325842,0.038461538461538464,0.09565217391304348,0.08888888888888889,0,0.018518518518518517,0,0.01680672268907563,0,1,0.018867924528301886
"Damion Baugh","CHA",15,370,3.3377837116154874,4.806408544726302,0.26702269692923897,0.125,2.0026702269692924,0.10067114093959731,2.5367156208277706,0.10052910052910052,0.10059171597633136,1.8691588785046729,0.13351134846461948,0.047619047619047616,0.6675567423230975,0.023809523809523808,1.0680907877169559,0.044444444444444446,0.03333333333333333,0.09615384615384616,0.09375,0.12121212121212122,0.10596026490066225,0.07894736842105263,0.04411764705882353,0.015748031496062992,0,0.05,0.03333333333333333,1,0.012987012987012988
"Jaden Springer","UTA",43,365,3.820816864295125,5.394736842105263,0.2631578947368421,0.08333333333333333,1.8421052631578947,0.09032258064516129,3.289473684210526,0.13297872340425532,0.11370262390670553,2.242744063324538,0,0,0.5277044854881267,0.024390243902439025,1.7150395778364116,0.06770833333333333,0.047752808988764044,0.08,0.07317073170731707,0.17391304347826086,0.1506849315068493,0.07142857142857142,0,0.026785714285714284,0.05263157894736842,0.08391608391608392,0.02040816326530612,1,0.020833333333333332
"Robert Williams III","POR",20,351,8.274894810659186,11.690140845070422,0.704225352112676,0.35714285714285715,5.915492957746479,0.20588235294117646,5.070422535211268,0.23225806451612904,0.21727019498607242,4.888268156424581,0,0,3.212290502793296,0.13690476190476192,1.675977653631285,0.0718562874251497,0.1044776119402985,0.15,0.21875,0.32142857142857145,0.23333333333333334,0.22857142857142856,0.13924050632911392,0.16176470588235295,0.047619047619047616,0.06349206349206349,0.0975609756097561,2,0.09523809523809523
"Doug McDermott","SAC",42,342,1.5838732901367891,2.753623188405797,0,0,1.7391304347826086,0.0718562874251497,1.0144927536231885,0.043478260869565216,0.057926829268292686,0.4291845493562232,0,0,0.1430615164520744,0.005747126436781609,0.2861230329041488,0.01282051282051282,0.00909090909090909,0.0851063829787234,0.07291666666666667,0.041666666666666664,0.03278688524590164,0.07692307692307693,0,0.011494252873563218,0,0.016666666666666666,0,0,0
"Christian Koloko","LAL",37,342,6.594982078853047,8.17790530846485,0.5738880918220947,0.25,4.160688665710187,0.18831168831168832,3.443328550932568,0.14814814814814814,0.16772151898734178,5.01432664756447,0,0,3.151862464183381,0.13095238095238096,1.8624641833810889,0.07602339181286549,0.10324483775811209,0.2857142857142857,0.1282051282051282,0.15,0.17054263565891473,0.06060606060606061,0.125,0.16666666666666666,0.058823529411764705,0.0703125,0.09302325581395349,1,0.05555555555555555
"Terrence Shannon Jr.","MIN",32,339,3.2775453277545328,5.1317614424410545,0.4160887656033287,0.12,1.941747572815534,0.08695652173913043,2.7739251040221915,0.11695906432748537,0.10240963855421686,1.402524544179523,0,0,0.7012622720897616,0.034482758620689655,0.7012622720897616,0.027777777777777776,0.03076923076923077,0.1,0.04938271604938271,0.2,0.08943089430894309,0.1875,0.0392156862745098,0.04054054054054054,0,0.029197080291970802,0.023255813953488372,0,0
"Keion Brooks Jr.","NOP",14,332,4.205946337926034,6.657018813314037,1.0130246020260492,0.3181818181818182,2.894356005788712,0.145985401459854,2.7496382054992763,0.10734463276836158,0.12420382165605096,1.744186046511628,0.14534883720930233,0.05555555555555555,0.7267441860465116,0.028901734104046242,0.872093023255814,0.03821656050955414,0.03333333333333333,0.109375,0.16363636363636364,0.2222222222222222,0.09848484848484848,0.13333333333333333,0.05172413793103448,0.020202020202020204,0,0.04918032786885246,0,0,0
"Tristan Thompson","CLE",40,328,9.933283914010378,15.13353115727003,1.4836795252225519,0.47619047619047616,8.160237388724036,0.3374233128834356,5.489614243323442,0.19786096256684493,0.26285714285714284,4.7407407407407405,0,0,2.962962962962963,0.12195121951219512,1.7777777777777777,0.06521739130434782,0.09195402298850575,0.2641509433962264,0.3902439024390244,0.32142857142857145,0.19548872180451127,0.2037037037037037,0.140625,0.12048192771084337,0.058823529411764705,0.0625,0.075,4,0.12121212121212122
"Maxwell Lewis","BKN",28,328,4.141566265060241,5.522388059701493,1.044776119402985,0.3181818181818182,1.044776119402985,0.0603448275862069,3.4328358208955225,0.14285714285714285,0.10830324909747292,2.735562310030395,0.1519756838905775,0.05,1.0638297872340425,0.045454545454545456,1.5197568389057752,0.05847953216374269,0.052307692307692305,0.0851063829787234,0.03333333333333333,0.1111111111111111,0.15517241379310345,0.1111111111111111,0,0.09859154929577464,0,0.06666666666666667,0.027777777777777776,1,0.018867924528301886
"Patty Mills","LAC",29,321,1.6442451420029895,2.706766917293233,0.15037593984962405,0.045454545454545456,1.2030075187969924,0.05555555555555555,1.3533834586466165,0.05202312138728324,0.05362776025236593,0.5943536404160475,0,0,0.5943536404160475,0.027210884353741496,0,0,0.012539184952978056,0.09090909090909091,0.02564102564102564,0.09090909090909091,0.05263157894736842,0.05,0.044444444444444446,0.025974025974025976,0,0,0,0,0
"Jevon Carter","CHI",36,321,2.7877055039313796,5.043227665706052,0.4322766570605187,0.15789473684210525,1.8731988472622478,0.08387096774193549,2.7377521613832854,0.09947643979057591,0.09248554913294797,0.5673758865248227,0,0,0.28368794326241137,0.015151515151515152,0.28368794326241137,0.010362694300518135,0.012307692307692308,0.029411764705882353,0.13846153846153847,0.09090909090909091,0.09523809523809523,0.11363636363636363,0.013888888888888888,0.02,0,0,0.05,1,0.011764705882352941
"Tre Mann","CHA",13,319,2.980392156862745,4.049844236760125,0.1557632398753894,0.05263157894736842,1.8691588785046729,0.08108108108108109,2.0249221183800623,0.087248322147651,0.08417508417508418,1.8957345971563981,0,0,0.9478672985781991,0.039473684210526314,0.9478672985781991,0.03428571428571429,0.03669724770642202,0.10126582278481013,0.05660377358490566,0.0625,0.08870967741935484,0.08,0.06060606060606061,0.03278688524590164,0,0.03597122302158273,0.027777777777777776,5,0.06578947368421052
"Jalen Hood-Schifino","PHI",15,315,2.0833333333333335,3.7267080745341614,0,0,1.8633540372670807,0.08275862068965517,1.8633540372670807,0.08391608391608392,0.08333333333333333,0.4601226993865031,0,0,0.3067484662576687,0.014184397163120567,0.15337423312883436,0.005747126436781609,0.009523809523809525,0.09090909090909091,0.07142857142857142,0.08333333333333333,0.09090909090909091,0.06818181818181818,0.0196078431372549,0,0.030303030303030304,0.007246376811594203,0,0,0
"Jordan McLaughlin","SAS",46,314,2.3455824863174355,3.7325038880248833,0.9331259720062208,0.21428571428571427,1.5552099533437014,0.07575757575757576,1.244167962674961,0.05128205128205128,0.0625,0.9433962264150944,0,0,0.15723270440251572,0.008695652173913044,0.7861635220125787,0.034722222222222224,0.023166023166023165,0.023255813953488372,0.10294117647058823,0.09523809523809523,0.045871559633027525,0.06382978723404255,0,0.015384615384615385,0,0.02857142857142857,0.05128205128205128,0,0
"Torrey Craig","BOS",26,314,5.854049719326383,7.290015847860539,1.109350237717908,0.3684210526315789,3.3280507131537242,0.14685314685314685,2.8526148969889067,0.1111111111111111,0.12786885245901639,4.383116883116883,0.16233766233766234,0.09090909090909091,1.2987012987012987,0.06015037593984962,2.9220779220779223,0.08780487804878048,0.07692307692307693,0.14583333333333334,0.16901408450704225,0.08333333333333333,0.112,0.10810810810810811,0.06,0.06382978723404255,0.05555555555555555,0.0875,0.08888888888888889,0,0
"Matisse Thybulle","POR",15,312,3.996925441967717,5.828220858895706,0.3067484662576687,0.18181818181818182,2.3006134969325154,0.09554140127388536,3.2208588957055215,0.15789473684210525,0.12413793103448276,2.157164869029276,0,0,0.3081664098613251,0.012738853503184714,1.8489984591679507,0.06382978723404255,0.04057971014492753,0.07142857142857142,0.1111111111111111,0.08,0.16,0.15151515151515152,0,0.010101010101010102,0.07142857142857142,0.04827586206896552,0.11627906976744186,1,0.023255813953488372
"Isaac Jones","SAC",40,304,4.488188976377953,5.4945054945054945,0.15698587127158556,0.05,3.2967032967032965,0.16030534351145037,2.0408163265306123,0.09701492537313433,0.12830188679245283,3.4755134281200633,0.1579778830963665,0.07142857142857142,1.7377567140600316,0.06832298136645963,1.5797788309636651,0.078125,0.0726643598615917,0.16666666666666666,0.17333333333333334,0.1,0.10576923076923077,0.06666666666666667,0.06666666666666667,0.05813953488372093,0.1,0.10227272727272728,0.025,2,0.13333333333333333
"Tyler Kolek","NYK",41,296,2.1933387489845653,3.0844155844155843,0.16233766233766234,0.058823529411764705,1.7857142857142858,0.07006369426751592,1.1363636363636365,0.047619047619047616,0.05921052631578947,1.3008130081300813,0.16260162601626016,0.1111111111111111,0.4878048780487805,0.02127659574468085,0.6504065040650406,0.027210884353741496,0.024305555555555556,0.08823529411764706,0.05555555555555555,0.058823529411764705,0.04032258064516129,0.08695652173913043,0,0.016129032258064516,0.07692307692307693,0.026785714285714284,0.02857142857142857,0,0
"Mitchell Robinson","NYK",17,290,8.953900709219859,8.536585365853659,0.5226480836236934,0.25,4.181184668989547,0.183206106870229,3.832752613240418,0.17054263565891473,0.17692307692307693,9.386281588447654,0,0,7.40072202166065,0.26282051282051283,1.9855595667870036,0.09243697478991597,0.1890909090909091,0.16071428571428573,0.15,0.4,0.16666666666666666,0.18518518518518517,0.3157894736842105,0.22388059701492538,0.25,0.10465116279069768,0.06060606060606061,6,0.3333333333333333
"Josh Minott","MIN",46,276,4,5.932203389830509,0.5084745762711864,0.16666666666666666,1.3559322033898304,0.06611570247933884,4.067796610169491,0.1568627450980392,0.11678832116788321,2.051282051282051,0,0,0.6837606837606838,0.03636363636363636,1.3675213675213675,0.055944055944055944,0.04743083003952569,0.07407407407407407,0.05660377358490566,0.07142857142857142,0.14035087719298245,0.20512820512820512,0.07547169811320754,0,0,0.06422018348623854,0.029411764705882353,1,0.02564102564102564
"Kobe Brown","LAC",40,272,5.936073059360731,8.409506398537477,0.9140767824497258,0.3333333333333333,3.1078610603290677,0.1619047619047619,4.387568555758683,0.18045112781954886,0.1722689075630252,3.4671532846715327,0,0,1.2773722627737227,0.05511811023622047,2.18978102189781,0.09375,0.07450980392156863,0.17857142857142858,0.14754098360655737,0.1875,0.1414141414141414,0.29411764705882354,0.05172413793103448,0.10810810810810811,0,0.10909090909090909,0,6,0.18181818181818182
"Dru Smith","MIA",14,268,3.252032520325203,4.324324324324325,0.18018018018018017,0.09090909090909091,2.3423423423423424,0.09774436090225563,1.8018018018018018,0.07874015748031496,0.08846153846153847,2.1739130434782608,0,0,0.9057971014492754,0.0390625,1.2681159420289856,0.05303030303030303,0.046153846153846156,0.09615384615384616,0.13559322033898305,0,0.05434782608695652,0.14285714285714285,0.022727272727272728,0.05194805194805195,0,0.054945054945054944,0.04878048780487805,2,0.07407407407407407
"Isaiah Wong","CHA",20,265,3.016022620169651,3.3962264150943398,0,0,1.320754716981132,0.08333333333333333,2.0754716981132075,0.07432432432432433,0.07758620689655173,2.6365348399246704,0,0,1.3182674199623352,0.050359712230215826,1.3182674199623352,0.06140350877192982,0.05533596837944664,0.08108108108108109,0.029411764705882353,0.23076923076923078,0.06779661016949153,0.1,0.0625,0.025974025974025976,0.14285714285714285,0.06666666666666667,0.041666666666666664,1,0.02127659574468085
