"Name","TeamAbbreviation","GamesPlayed","Minutes","ShotQualityAvg","AtRimFG3AFrequency","Avg2ptShotDistance","Avg3ptShotDistance","AtRimFGM","AtRimFGA","AtRimFrequency","AtRimAccuracy","UnblockedAtRimAccuracy","AtRimPctAssisted","AtRimPctBlocked","ShortMidRangeFGM","ShortMidRangeFGA","ShortMidRangeFrequency","ShortMidRangeAccuracy","UnblockedShortMidRangeAccuracy","ShortMidRangePctAssisted","ShortMidRangePctBlocked","LongMidRangeFGM","LongMidRangeFGA","LongMidRangeFrequency","LongMidRangeAccuracy","UnblockedLongMidRangeAccuracy","LongMidRangePctAssisted","LongMidRangePctBlocked","Corner3FGM","Corner3FGA","Corner3Frequency","Corner3Accuracy","UnblockedCorner3Accuracy","Corner3PctAssisted","Corner3PctBlocked","Arc3FGM","Arc3FGA","Arc3Frequency","Arc3Accuracy","UnblockedArc3Accuracy","Arc3PctAssisted","Arc3PctBlocked","NonHeaveArc3FGM","NonHeaveArc3FGA","NonHeaveArc3Accuracy","HeaveAttempts","HeaveMakes"
"Jordan Clarkson","UTA",37,962,0.4946371663244353,0.5873983739837398,7.9816091954022985,26.365367965367962,1.6957605985037407,2.892768079800499,0.11788617886178862,0.5862068965517241,0.7083333333333334,0.23529411764705882,0.1724137931034483,3.5910224438902745,8.778054862842893,0.35772357723577236,0.4090909090909091,0.4645161290322581,0.2777777777777778,0.11931818181818182,0.5486284289276808,1.346633416458853,0.054878048780487805,0.4074074074074074,0.44,0.45454545454545453,0.07407407407407407,0.5985037406483791,1.2967581047381547,0.052845528455284556,0.46153846153846156,0.46153846153846156,1,0,3.5910224438902745,10.224438902743142,0.4166666666666667,0.35121951219512193,0.3582089552238806,0.6388888888888888,0.01951219512195122,72,200,0.36,5,0
"Jalen Smith","CHI",64,962,0.5790606879606879,0.8897058823529411,3.3118279569892475,25.60315315315315,4.7340165934602245,6.881405563689604,0.34558823529411764,0.6879432624113475,0.7578125,0.6804123711340206,0.09219858156028368,0.9272816007808687,1.7569546120058566,0.08823529411764706,0.5277777777777778,0.5428571428571428,0.7894736842105263,0.027777777777777776,0.09760858955588092,0.43923865300146414,0.022058823529411766,0.2222222222222222,0.2222222222222222,1,0,0.634455832113226,1.8545632015617375,0.09313725490196079,0.34210526315789475,0.34210526315789475,1,0,2.8794533918984873,8.979990239141044,0.45098039215686275,0.32065217391304346,0.32065217391304346,0.9830508474576272,0,58,182,0.31868131868131866,1,1
"Gary Payton II","GSW",62,927,0.5689854237288136,0.7878787878787878,3.342079207920792,24.56421052631579,5.92948717948718,7.4252136752136755,0.468013468013468,0.7985611510791367,0.8604651162790697,0.8108108108108109,0.07194244604316546,1.4957264957264957,3.3119658119658117,0.20875420875420875,0.45161290322580644,0.5384615384615384,0.8928571428571429,0.16129032258064516,0,0.053418803418803416,0.003367003367003367,0,0,0,0,1.1752136752136753,2.8846153846153846,0.18181818181818182,0.4074074074074074,0.4074074074074074,0.9545454545454546,0,0.4807692307692308,2.1901709401709404,0.13804713804713806,0.21951219512195122,0.21951219512195122,1,0,9,41,0.21951219512195122,0,0
"Brandon Miller","CHA",27,924,0.5235915637860082,0.7291242362525459,7.541414141414141,26.743344709897613,2.3529411764705883,3.4759358288770055,0.13238289205702647,0.676923076923077,0.7719298245614035,0.5227272727272727,0.12307692307692308,2.1390374331550803,5.401069518716578,0.20570264765784113,0.39603960396039606,0.4444444444444444,0.475,0.10891089108910891,0.5347593582887701,1.7112299465240641,0.06517311608961303,0.3125,0.3225806451612903,0.6,0.03125,0.42780748663101603,1.3903743315508021,0.05295315682281059,0.3076923076923077,0.3076923076923077,1,0,5.133689839572193,14.27807486631016,0.5437881873727087,0.3595505617977528,0.3609022556390977,0.7916666666666666,0.003745318352059925,96,262,0.366412213740458,5,0
"Bruce Brown","NOP",41,921,0.5428396103896104,0.5825242718446602,6.244298245614035,24.790123456790123,3.236074270557029,5.251989389920424,0.32038834951456313,0.6161616161616161,0.6703296703296703,0.6885245901639344,0.08080808080808081,2.0689655172413794,6.047745358090186,0.36893203883495146,0.34210526315789475,0.38613861386138615,0.5641025641025641,0.11403508771929824,0.15915119363395225,0.7957559681697612,0.04854368932038835,0.2,0.2,1,0,0.9018567639257294,2.2281167108753315,0.13592233009708737,0.40476190476190477,0.4146341463414634,1,0.023809523809523808,0.5305039787798409,2.0689655172413794,0.1262135922330097,0.2564102564102564,0.2564102564102564,0.9,0,10,38,0.2631578947368421,1,0
"Immanuel Quickley","TOR",33,918,0.5158825688073395,0.6552511415525114,7.752582159624413,26.389777777777777,1.9179541822056474,3.303143313798615,0.1415525114155251,0.5806451612903226,0.7058823529411765,0.3888888888888889,0.1774193548387097,2.717101758124667,6.659563132658498,0.2853881278538813,0.408,0.45535714285714285,0.39215686274509803,0.104,0.6393180607352158,1.3851891315929674,0.0593607305936073,0.46153846153846156,0.46153846153846156,0.3333333333333333,0,0.5327650506126798,1.3319126265316996,0.05707762557077625,0.4,0.4,0.9,0,3.9957378795950986,10.655301012253597,0.45662100456621,0.375,0.3768844221105528,0.72,0.005,75,198,0.3787878787878788,2,0
"Trendon Watford","BKN",43,913,0.5281962643678161,0.6257142857142857,4.911450381679389,25.74204545454546,4.359823399558499,7.229580573951435,0.3742857142857143,0.6030534351145038,0.6929824561403509,0.46835443037974683,0.1297709923664122,3.035320088300221,7.008830022075055,0.3628571428571429,0.4330708661417323,0.49107142857142855,0.21818181818181817,0.11811023622047244,0.05518763796909492,0.22075055187637968,0.011428571428571429,0.25,0.3333333333333333,0,0.25,0.38631346578366443,1.3245033112582782,0.06857142857142857,0.2916666666666667,0.3181818181818182,1,0.08333333333333333,1.2141280353200883,3.532008830022075,0.18285714285714286,0.34375,0.3492063492063492,0.9545454545454546,0.015625,22,63,0.3492063492063492,1,0
"KJ Martin","UTA",43,912,0.5911081632653061,0.8059701492537313,3.0174825174825175,23.803508771929828,3.85645420460632,5.570433851098018,0.5174129353233831,0.6923076923076923,0.8089887640449438,0.8472222222222222,0.14423076923076922,1.2319228709159078,2.035350830208891,0.1890547263681592,0.6052631578947368,0.6764705882352942,0.8260869565217391,0.10526315789473684,0.05356186395286556,0.05356186395286556,0.004975124378109453,1,1,1,0,0.7498660953401178,2.2495982860203534,0.208955223880597,0.3333333333333333,0.34146341463414637,1,0.023809523809523808,0.05356186395286556,0.8569898232458489,0.07960199004975124,0.0625,0.0625,1,0,1,16,0.0625,0,0
"Day'Ron Sharpe","BKN",50,909,0.5602990536277602,0.7350157728706624,3.5761029411764707,24.955555555555556,6.465997770345597,10.479375696767,0.5930599369085173,0.6170212765957447,0.6946107784431138,0.5258620689655172,0.11170212765957446,1.7279821627647716,4.069119286510591,0.2302839116719243,0.4246575342465753,0.45588235294117646,0.8387096774193549,0.0684931506849315,0.39018952062430323,0.6131549609810479,0.03470031545741325,0.6363636363636364,0.7,0.7142857142857143,0.09090909090909091,0.2787068004459309,0.7246376811594203,0.04100946372239748,0.38461538461538464,0.38461538461538464,1,0,0.33444816053511706,1.7837235228539576,0.10094637223974763,0.1875,0.1875,1,0,6,32,0.1875,0,0
"Jaden Hardy","DAL",57,907,0.5233846534653465,0.6642512077294686,7.845622119815668,25.366497461928933,2.314571278274592,4.103103629668595,0.18840579710144928,0.5641025641025641,0.6567164179104478,0.45454545454545453,0.14102564102564102,2.524986849026828,5.31299316149395,0.24396135265700483,0.4752475247524752,0.5333333333333333,0.3125,0.10891089108910891,0.631246712256707,1.9989479221462387,0.09178743961352658,0.3157894736842105,0.3157894736842105,0.08333333333333333,0,0.9994739610731194,2.577590741714887,0.11835748792270531,0.3877551020408163,0.3877551020408163,1,0,2.998421883219358,7.78537611783272,0.357487922705314,0.38513513513513514,0.3904109589041096,0.7719298245614035,0.013513513513513514,57,147,0.3877551020408163,1,0
