"ShortName","TeamAbbreviation","GamesPlayed","Minutes","PlusMinus","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"Alexander-Walker, Johnson, Daniels, Risacher, Porziņģis","ATL",6,77,11.805006587615281,165,124.84848484848484,36.36363636363637,61.21212121212121,0.594059405940594,9.090909090909092,27.272727272727273,0.3333333333333333,0.3333333333333333,24.848484848484848,46.06060606060606,26.666666666666668,23.636363636363637,3.6363636363636362,0.6333333333333333,0.6785714285714286,0.8666666666666667,0.3082191780821918,0.5771883561643835,0.565068493150685,0.6242424242424243,4.848484848484849,1.8181818181818181,0.0297029702970297,0,0
"Ayton, Dončić, Hachimura, Reaves, Smart","LAL",7,75,15.397158164453757,162,117.28395061728395,35.80246913580247,54.32098765432099,0.6590909090909091,9.876543209876543,32.098765432098766,0.3076923076923077,0.3076923076923077,16.049382716049383,37.03703703703704,34.5679012345679,24.074074074074073,5.555555555555555,0.5172413793103449,0.5555555555555556,0.8125,0.37142857142857144,0.5345142857142857,0.5857142857142857,0.6129032258064516,4.938271604938271,3.0864197530864197,0.056818181818181816,0.6172839506172839,0.019230769230769232
"Hartenstein, Gilgeous-Alexander, Dort, Holmgren, Wallace","OKC",7,74,27.57017543859648,152,132.23684210526315,34.86842105263158,61.18421052631579,0.5698924731182796,15.131578947368421,30.263157894736842,0.5,0.5,17.105263157894736,38.1578947368421,31.57894736842105,35.526315789473685,9.868421052631579,0.5471698113207547,0.58,0.782608695652174,0.33093525179856115,0.547444964028777,0.6294964028776978,0.6611842105263158,3.9473684210526314,3.289473684210526,0.053763440860215055,0.6578947368421053,0.021739130434782608
"Okoro, Jones, Giddey, Buzelis, Vučević","CHI",9,74,-15.541401273885356,157,104.45859872611464,26.751592356687897,52.22929936305732,0.5121951219512195,12.101910828025478,30.573248407643312,0.3958333333333333,0.3958333333333333,14.64968152866242,35.6687898089172,17.8343949044586,36.30573248407644,0,0.6666666666666666,0.717948717948718,1,0.36923076923076925,0.6002,0.5423076923076923,0.5734265734265734,3.821656050955414,4.45859872611465,0.08536585365853659,0.6369426751592356,0.020833333333333332
"Smith, Jović, Jaquez Jr., Fontecchio, Wiggins","MIA",7,72,2.900641025641022,160,111.875,25.625,48.125,0.5324675324675324,13.75,41.25,0.3333333333333333,0.3333333333333333,19.375,27.5,23.75,39.375,1.875,0.5365853658536586,0.6111111111111112,0.9545454545454546,0.46153846153846156,0.5449356115107914,0.5174825174825175,0.553125,6.25,7.5,0.15584415584415584,0,0
"Booker, O'Neale, Allen, Williams, Dunn","PHX",6,71,16.97224344283167,153,113.72549019607843,29.41176470588235,50.98039215686274,0.5769230769230769,13.72549019607843,39.869281045751634,0.3442622950819672,0.3442622950819672,13.72549019607843,33.98692810457516,24.836601307189543,31.372549019607842,9.803921568627452,0.5777777777777777,0.6341463414634146,0.7619047619047619,0.43884892086330934,0.5465723021582733,0.5503597122302158,0.5761589403973509,5.228758169934641,3.2679738562091503,0.0641025641025641,0,0
"Sarr, Carrington, George, Middleton, McCollum","WAS",7,71,-7.461368653421644,151,119.20529801324503,29.801324503311257,58.27814569536424,0.5113636363636364,14.56953642384106,31.788079470198674,0.4583333333333333,0.4583333333333333,15.894039735099337,31.788079470198674,27.814569536423843,37.74834437086093,5.960264900662252,0.5333333333333333,0.5581395348837209,0.8636363636363636,0.35294117647058826,0.5191702205882354,0.5735294117647058,0.6,2.6490066225165565,7.947019867549669,0.13636363636363635,0,0
"Murray, Brown, Watson, Valančiūnas, Hardaway Jr.","DEN",9,68,-13.677248677248684,135,117.03703703703704,30.37037037037037,57.03703703703704,0.5324675324675324,13.333333333333334,34.81481481481482,0.3829787234042553,0.3829787234042553,16.296296296296298,26.666666666666668,34.074074074074076,31.11111111111111,8.88888888888889,0.43902439024390244,0.5294117647058824,0.7777777777777778,0.3790322580645161,0.5058821138211382,0.5483870967741935,0.5808823529411765,10.37037037037037,5.925925925925926,0.1038961038961039,0,0
"DiVincenzo, McDaniels, Conley, Gobert, Randle","MIN",6,66,21.387934735938174,136,130.14705882352942,29.41176470588235,45.588235294117645,0.6451612903225806,15.441176470588236,36.029411764705884,0.42857142857142855,0.42857142857142855,25,35.294117647058826,23.529411764705884,41.911764705882355,4.411764705882353,0.6,0.6486486486486487,0.9047619047619048,0.44144144144144143,0.5697117117117118,0.6441441441441441,0.6782945736434108,4.411764705882353,2.2058823529411766,0.04838709677419355,0,0
"Kuminga, Podziemski, Curry, Butler III, Green","GSW",8,65,15.684511214557759,139,122.3021582733813,25.179856115107913,46.76258992805755,0.5384615384615384,16.546762589928058,38.84892086330935,0.42592592592592593,0.42592592592592593,22.302158273381295,31.654676258992804,18.705035971223023,47.48201438848921,2.158273381294964,0.6285714285714286,0.6285714285714286,0.9565217391304348,0.453781512605042,0.5360819327731092,0.5840336134453782,0.6167883211678832,0,2.158273381294964,0.046153846153846156,0,0
