ShortName,PlusMinus,Minutes
"Pascal Siakam, Aaron Nesmith, Isaiah Jackson, Jarace Walker, Ben Sheppard",-7.351434426229503,29
"Marvin Bagley III, Corey Kispert, Cam Whitmore, Bub Carrington, CJ McCollum",-9.977388355002816,29
"Pascal Siakam, Tony Bradley, Andrew Nembhard, Aaron Nesmith, Jeremiah Robinson-Earl",4.636591478696744,28
"Devin Booker, Royce O'Neale, Dillon Brooks, Mark Williams, Ryan Dunn",10.136612021857914,28
"Miles Bridges, LaMelo Ball, Moussa Diabaté, Kon Knueppel, Sion James",32.203389830508485,28
"Jarred Vanderbilt, Deandre Ayton, Rui Hachimura, Austin Reaves, Jake LaRavia",-11.497175141242948,28
"Luka Dončić, Rui Hachimura, Jaxson Hayes, Austin Reaves, Marcus Smart",11.894586894586894,28
"Kelly Oubre Jr., Tyrese Maxey, Jabari Walker, Adem Bona, VJ Edgecombe",-33.79870129870132,27
"Deni Avdija, Toumani Camara, Donovan Clingan, Jrue Holiday, Jerami Grant",-28.939393939393938,27
"Kelly Oubre Jr., Quentin Grimes, Tyrese Maxey, Adem Bona, VJ Edgecombe",37.11484593837535,27
"Karl-Anthony Towns, OG Anunoby, Mikal Bridges, Jalen Brunson, Miles McBride",12.763596004439506,26
"Dru Smith, Jaime Jaquez Jr., Simone Fontecchio, Kel'el Ware, Andrew Wiggins",1.973684210526315,26
"Lonzo Ball, Donovan Mitchell, Jarrett Allen, Dean Wade, Craig Porter Jr.",48.83889695210449,25
"Donte DiVincenzo, Anthony Edwards, Mike Conley, Rudy Gobert, Julius Randle",14.81481481481481,25
"Chris Paul, Kris Dunn, John Collins, Brook Lopez, Kawhi Leonard",-33.13893653516294,25
"Duncan Robinson, Cade Cunningham, Jalen Duren, Ausar Thompson, Ronald Holland II",30.204081632653057,25
"Goga Bitadze, Desmond Bane, Paolo Banchero, Anthony Black, da Silva",-0.7834757834757795,25
"Bam Adebayo, Davion Mitchell, Pelle Larsson, Kel'el Ware, Andrew Wiggins",-49.02229845626072,25
"Miles Bridges, Tre Mann, Moussa Diabaté, Kon Knueppel, Sion James",-41.66666666666666,25
"Naz Reid, Anthony Edwards, Jaylen Clark, Mike Conley, Julius Randle",8.909853249475887,25
"Lauri Markkanen, Svi Mykhailiuk, Kyle Filipowski, Walter Clayton Jr., Jusuf Nurkić",8.510638297872347,25
"Cameron Johnson, Christian Braun, Tim Hardaway Jr., Aaron Gordon, Nikola Jokić",-5.224867724867721,25
