Name,TeamAbbreviation,Points,Usage,EfgPct,TsPct,Assists,AssistPoints,Turnovers,FTA,FG3APct,Rebounds,DefRebounds,Blocks,Steals,AtRimFrequency,AtRimAccuracy,Avg2ptShotDistance,Avg3ptShotDistance
Isaiah Jackson,IND,21.4920071047957,16.7664670658683,0.580246913580247,0.630208333333333,2.66429840142096,6.03907637655417,2.84191829484902,6.03907637655417,0.0,7.83450704225352,8.7260034904014,0.87260034904014,1.74520069808028,0.716049382716049,0.655172413793103,3.42592592592593,0.0
Kyle Filipowski,UTA,18.8081936685289,18.0379746835443,0.476470588235294,0.51530612244898,5.58659217877095,13.780260707635,2.97951582867784,5.40037243947859,0.411764705882353,6.77179962894249,9.79667282809612,1.29390018484288,0.924214417744917,0.223529411764706,0.578947368421053,5.06,24.5457142857143
Jakob Poeltl,TOR,21.0428305400372,15.3846153846154,0.723076923076923,0.689024390243902,3.16573556797021,6.70391061452514,2.23463687150838,6.51769087523277,0.0,6.97674418604651,8.7360594795539,1.11524163568773,1.11524163568773,0.692307692307692,0.822222222222222,3.84307692307692,0.0
Goga Bitadze,ORL,17.3151750972763,11.1675126903553,0.739130434782609,0.741666666666667,3.69649805447471,8.17120622568093,1.55642023346304,5.6420233463035,0.130434782608696,7.05996131528046,9.42307692307692,3.65384615384615,1.53846153846154,0.695652173913044,0.8125,2.705,25.1
Al Horford,GSW,12.4015748031496,14.5104895104895,0.446969696969697,0.463235294117647,3.74015748031496,10.2362204724409,2.95275590551181,0.78740157480315,0.712121212121212,4.40744368266406,6.82261208576998,2.14424951267057,1.94931773879142,0.0606060606060606,0.5,7.33157894736842,25.2021276595745
Bam Adebayo,MIA,29.9435028248588,26.6781411359725,0.516129032258065,0.560283687943262,4.33145009416196,10.1694915254237,3.01318267419962,6.77966101694915,0.379032258064516,6.10902255639098,10.6941838649156,0.375234521575985,1.50093808630394,0.193548387096774,0.75,7.6974025974026,24.8617021276596
Steven Adams,HOU,13.7014314928425,12.1212121212121,0.510204081632653,0.558333333333333,3.2719836400818,6.95296523517382,2.45398773006135,4.70347648261759,0.0,10.5858170606372,9.71074380165289,1.65289256198347,1.65289256198347,0.857142857142857,0.547619047619048,1.62244897959184,0.0
Kristaps Porziņģis,ATL,32.0328542094456,26.3440860215054,0.491228070175439,0.569343065693431,6.77618069815195,14.9897330595483,2.05338809034908,10.4722792607803,0.394736842105263,5.22540983606557,6.95296523517382,2.86298568507157,1.02249488752556,0.219298245614035,0.52,8.62463768115942,26.3066666666667
Sandro Mamukelashvili,TOR,24.3512974051896,17.5843694493783,0.671052631578947,0.701149425287356,4.79041916167665,12.375249500998,2.39520958083832,4.99001996007984,0.407894736842105,4.68594217347956,6.77290836653387,1.19521912350598,1.19521912350598,0.43421052631579,0.757575757575758,2.77777777777778,25.8032258064516
Brook Lopez,LAC,22.0379146919431,20.3821656050955,0.544871794871795,0.560240963855422,1.8957345971564,5.68720379146919,3.08056872037915,2.60663507109005,0.692307692307692,3.63423212192263,6.26450116009281,2.55220417633411,1.16009280742459,0.0769230769230769,0.666666666666667,8.23333333333333,27.1351851851852
Jalen Smith,CHI,29.954954954955,23.21083172147,0.6,0.621495327102804,4.05405405405405,10.1351351351351,2.92792792792793,4.27927927927928,0.55,9.15178571428571,12.3893805309735,0.884955752212389,0.884955752212389,0.37,0.648648648648649,3.34444444444445,25.5018181818182
Daniel Gafford,DAL,22.3776223776224,15.8110882956879,0.660714285714286,0.716417910447761,2.33100233100233,4.8951048951049,2.33100233100233,6.29370629370629,0.0,6.22065727699531,7.80141843971631,3.54609929078014,1.89125295508274,0.75,0.738095238095238,3.00535714285714,0.0
Day'Ron Sharpe,BKN,22.1957040572792,18.9409368635438,0.663636363636364,0.683823529411765,5.96658711217184,15.035799522673,5.96658711217184,7.15990453460621,0.218181818181818,8.36320191158901,9.33014354066986,1.43540669856459,3.11004784688995,0.509090909090909,0.928571428571429,3.03488372093023,25.1916666666667
Luka Garza,BOS,24.1545893719807,16.1554192229039,0.645161290322581,0.684931506849315,2.65700483091787,6.76328502415459,1.44927536231884,6.28019323671498,0.338709677419355,7.06586826347305,5.93824228028504,1.42517814726841,1.18764845605701,0.403225806451613,0.68,4.48780487804878,25.6380952380952
Drew Eubanks,SAC,20.6976744186047,17.3640167364017,0.660714285714286,0.635714285714286,0.930232558139535,2.32558139534884,3.02325581395349,7.2093023255814,0.0178571428571428,4.52436194895592,6.94444444444445,3.24074074074074,1.62037037037037,0.446428571428571,0.8,5.26545454545455,24.3
Tony Bradley,IND,18.8995215311005,14.2292490118577,0.589285714285714,0.607692307692308,2.63157894736842,6.2200956937799,1.67464114832536,4.54545454545455,0.0178571428571428,5.71428571428571,4.50236966824645,0.710900473933649,0.4739336492891,0.607142857142857,0.588235294117647,3.68363636363636,23.0
Jay Huff,IND,17.4712643678161,16.8627450980392,0.465277777777778,0.487179487179487,2.29885057471264,5.97701149425287,1.83908045977012,2.98850574712644,0.680555555555556,4.58715596330275,5.94965675057208,5.720823798627,0.22883295194508,0.208333333333333,0.733333333333333,2.86521739130435,25.9551020408163
Jaxson Hayes,LAL,15.5717761557178,10.7296137339056,0.723684210526316,0.727272727272727,3.16301703163017,8.27250608272506,1.45985401459854,3.40632603406326,0.0263157894736842,5.92503022974607,8.17307692307692,1.20192307692308,1.20192307692308,0.815789473684211,0.774193548387097,2.27297297297297,27.3
Adem Bona,PHI,7.04607046070461,7.69230769230769,0.45,0.448275862068966,0.813008130081301,1.6260162601626,1.8970189701897,4.3360433604336,0.05,5.48128342245989,6.86015831134565,5.27704485488127,1.31926121372032,0.75,0.533333333333333,1.81052631578947,23.0
Yves Missi,NOP,14.6005509641873,12.8805620608899,0.611111111111111,0.602272727272727,3.30578512396694,8.81542699724518,3.03030303030303,4.95867768595041,0.0,5.91471801925722,4.94505494505495,2.47252747252747,0.824175824175824,0.75,0.666666666666667,2.88333333333333,0.0
Paul Reed,DET,25.4285714285714,18.3374083129584,0.732142857142857,0.729508196721312,4.57142857142857,10.8571428571429,4.0,3.42857142857143,0.142857142857143,8.08510638297872,9.01408450704225,3.09859154929577,3.94366197183099,0.607142857142857,0.794117647058824,4.17291666666667,25.4625
Luke Kornet,SAS,18.0473372781065,11.1392405063291,0.78125,0.7625,4.14201183431953,11.2426035502959,1.18343195266272,4.73372781065089,0.0,6.31424375917768,6.41399416909621,2.04081632653061,0.291545189504373,0.90625,0.827586206896552,1.49375,0.0
Nick Richards,PHX,20.7547169811321,17.8947368421053,0.558139534883721,0.590909090909091,1.57232704402516,3.77358490566038,4.08805031446541,7.86163522012579,0.0,8.0188679245283,9.74842767295598,2.51572327044025,0.628930817610063,0.441860465116279,0.631578947368421,5.55813953488372,0.0
Jonas Valančiūnas,DEN,34.5276872964169,29.2613636363636,0.561643835616438,0.595505617977528,4.88599348534202,11.7263843648208,4.56026058631922,10.7491856677524,0.0821917808219178,9.9025974025974,13.2686084142395,2.9126213592233,0.323624595469256,0.36986301369863,0.62962962962963,6.33582089552239,25.9166666666667
Walker Kessler,UTA,23.2258064516129,16.8937329700272,0.783783783783784,0.782608695652174,4.83870967741936,11.6129032258065,5.16129032258065,6.45161290322581,0.216216216216216,8.72374798061389,10.0323624595469,2.9126213592233,2.26537216828479,0.567567567567568,0.666666666666667,2.67241379310345,25.05
Joel Embiid,PHI,40.6896551724138,35.6495468277946,0.511494252873563,0.57843137254902,6.89655172413793,18.6206896551724,5.51724137931035,12.0689655172414,0.32183908045977,5.71923743500867,8.3623693379791,3.13588850174216,1.74216027874564,0.275862068965517,0.666666666666667,8.69491525423729,26.3821428571429
Ousmane Dieng,OKC,10.7806691449814,14.7651006711409,0.347222222222222,0.381578947368421,2.97397769516729,7.43494423791822,2.23048327137546,1.48698884758364,0.472222222222222,3.78378378378378,5.94405594405594,1.74825174825175,0.34965034965035,0.138888888888889,0.6,7.55263157894737,25.1705882352941
Moussa Cisse,DAL,17.3144876325088,15.6441717791411,0.666666666666667,0.597560975609756,0.353356890459364,0.706713780918728,3.53356890459364,8.8339222614841,0.0,8.01393728222997,8.24742268041237,5.49828178694158,1.03092783505155,0.966666666666667,0.689655172413793,1.37,0.0
Precious Achiuwa,SAC,16.2698412698413,13.8790035587189,0.548387096774194,0.569444444444444,1.98412698412698,4.76190476190476,1.19047619047619,5.15873015873016,0.258064516129032,5.765407554671969,7.56972111553785,1.19521912350598,1.99203187250996,0.451612903225806,0.857142857142857,3.8,24.2375
